year,value
1994,-28.16780222372106
1995,-23.096922232088232
1996,-13.40016321101534
1997,-3.906682144440026
1998,-0.04863307716304632
1999,-3.095485223480793
2000,-1.442386189636082
2001,-1.5475689212413783
2002,-2.1370619241466358
2003,-9.124558003916889
2004,-12.236500714438208
2005,-15.310976969766372
2006,-13.573845571475829
2007,-8.565482087367684
2008,1.6467002922294256
2009,-2.1199851068023605
2010,3.525903590933993
2011,4.194032740590416
2012,4.43238059292716
2013,8.289998783466174
2014,10.982782191591369
2015,21.26155477799766
2016,16.23310667739402
2017,11.824418849488609
2018,15.902225263226342
2019,13.62183048608938
2020,-9.838629266096632
2021,5.922546681868752
2022,3.91608258422778
2023,11.154440942368169
2024,8.297089340656314
2025,6.407589071739849
