year,value
1990,5.812981360349848
1991,4.6373818459133815
1992,3.6893363969538697
1993,2.455329312720753
1994,2.144524958640204
1995,1.7691618919022112
1996,3.236261121035902
1997,2.9823127437156636
1998,1.1224358917047432
1999,0.5327232216578786
2000,0.2786794605767433
2001,0.6798618114068695
2002,-0.039466821551013
2003,-0.3108752250213165
2004,-0.5823542032973776
2005,-0.32857701102869186
2006,-0.2507893522455511
2007,-0.6111144378145035
2008,-0.4850714247071686
2009,-2.5794501970378114
2010,-2.390729417635125
2011,-1.6702567271783053
2012,-1.947392597783555
2013,-1.6586123845858047
2014,-1.6927217117690425
2015,-1.8837122001551663
2016,-2.0814957677260004
2017,-2.294331392221089
2018,-1.8966439886186635
2019,-2.1780929894355445
2020,-0.4042727540019442
2021,0.7798043443182969
2022,-0.3755315903163776
2023,-4.459302166766644
