year,value
1990,8.624291429582337
1991,0.8888494581669284
1992,-2.0007584894217683
1993,-1.364202660000038
1994,-0.4477436115144169
1995,0.6200762019973451
1996,0.6079683336052648
1997,0.05428570051913306
1998,1.1570149812707107
1999,0.553634673431529
2000,-0.9517112927933864
2001,-0.4446580117712733
2002,-0.008710765719766034
2003,-1.65542379464213
2004,-0.8358021566017
2005,-0.6169167855678586
2006,-1.4136621105037648
2007,-1.137991638432979
2008,-1.5599555360863637
2009,-0.8912198325014451
2010,-0.24326888386770174
2011,-0.38355259643288075
2012,-0.23341406820325528
2013,1.0806507081181813
2014,0.8964820689845685
2015,1.0249454745112758
2016,0.8568658435102905
2017,1.8202859526206039
2018,-0.13377964958270328
2019,-0.5692088636579546
2020,0.45875804526530395
2021,1.2681929756005745
2022,-1.726951020865875
2023,-0.7863169395248042
2024,-0.9015626847316074
2025,-1.6054904547603297
