year,value
1990,-14.175859487960118
1991,-10.323973878438604
1992,-10.219473758092317
1993,-10.059284889208683
1994,-9.576548714165952
1995,-6.552063567061123
1996,-4.4893259850505
1997,-1.92082178058887
1998,-1.8085037498818144
1999,-3.4427293086222415
2000,-2.446350006741009
2001,-0.17189439913407956
2002,-1.505740208410188
2003,-0.010506951219821481
2004,0.2895775141395778
2005,1.3262917711660034
2006,2.173885458941045
2007,2.123098860205642
2008,4.894546191059362
2009,0.12873386904146056
2010,-1.4451366127629033
2011,1.8158185927771373
2012,1.302720139961751
2013,0.8849092195642059
2014,2.5165384044672265
2015,2.839839033760826
2016,3.7990303520023962
2017,4.276882733194546
2018,6.194007623729268
2019,6.853177621081775
2020,2.7558087160167504
2021,-3.6120799761463145
2022,0.8562712601295872
2023,8.863905815659406
2024,11.466974009444032
2025,16.398276087142747
