year,value
1978,-5.2910247858227075
1980,1.8670029760274245
1985,4.114778653214132
1990,-1.4739391144108147
1995,13.054236105971224
1996,4.341500126343915
1997,-1.0713820449031424
1998,-4.4891753390028235
1999,-5.024670429992149
2000,-3.171352103724393
2001,-2.611850964632155
2002,-4.017622375494783
2003,-1.9506614472723722
2004,0.7773598811145859
2005,-1.1860042646922286
2006,-1.4000150352437197
2007,2.014499103049558
2008,3.36243940885232
2009,-2.9261731223753156
2010,0.8426387688729955
2011,3.1243250326070227
2012,0.4686037846805089
2013,0.5714108980645629
2014,0.06623594901049668
2015,-0.4202206250513343
2016,0.3106435839943007
2017,-0.01664138563009887
2018,0.6038432184135947
2019,1.5504259504142843
2020,0.8948507197477094
2021,-1.142023150321338
2022,0.24717243057364158
2023,-0.7155338557044122
2024,-0.6067796672291117
2025,-0.6968968794493735
