year,value
1980,38.5098327814418
1985,35.574557302462104
1990,28.75706075552968
1991,-12.766147201764511
1992,-10.212328166005168
1993,-11.951502463689984
1994,-13.835577519937008
1995,-13.908810657318085
1996,-29.666987078279703
1997,-20.990429191374943
1998,-27.744023847481248
1999,-17.775451498417063
2000,-0.021680084482188278
2001,-14.032640654433795
2002,1.7172706984079014
2003,12.378696757805116
2004,9.124981413330069
2005,5.030591897112419
2006,3.4279122414200387
2007,3.6767512063721774
2008,4.935394796337139
2009,-14.264535753747953
2010,12.444115477327962
2011,7.218348241336848
2012,-1.817060686559774
2013,-1.1167006981084011
2014,-3.907018285784444
2015,-5.602150045869881
2016,-2.9913335331270035
2017,4.7066032952793755
2018,2.854672277883756
2019,4.269131247534965
2020,10.3863876724484
2021,-6.1534055083788495
2022,-4.232982164069725
2023,4.203060688169655
2024,11.802131616994961
2025,11.973264671632519
