year,value
1978,3.96202734776449
1979,1.610730537059041
1980,0.16815525550267552
1981,-2.3863667023068302
1982,-3.1685445499673364
1983,-2.6207497259257693
1984,-1.5722734670402048
1985,2.126463842305782
1986,1.2919088588974006
1987,-0.18004569577704643
1988,0.23253211206247215
1989,-0.37700114395824613
1990,-2.2847234635442746
1991,-2.566616602126132
1992,-1.0568485461775623
1993,4.701609429582248
1994,2.277763144802222
1995,1.8377566826419667
1996,0.06758972759249104
1997,-2.3026939115055995
1998,-2.9970815780144733
1999,-3.285413905754261
2000,-4.48267489689502
2001,-3.4390469624449835
2002,-2.359045856684247
2003,0.49814508711842365
2004,2.189530784041665
2005,0.5260436037133829
2006,0.45150142698906137
2007,0.08008619140107243
2008,2.101268585581934
2009,5.387158096043734
2010,5.770852799163492
2011,5.828134393930391
2012,5.0505215033237505
2013,2.9510672373641
2014,2.0769351813096506
2015,-0.7522566491585678
2016,-1.5776237535453888
2017,-1.449403105114257
2018,-0.9330547769536253
2019,-1.795876012432032
2020,0.5286724980620647
2021,-0.04983944285030617
2022,-0.4788330552116946
2023,-4.348713061481817
2024,-5.251727461383062
