year,value
1991,-0.8025419056696599
1992,5.18258244360478
1994,10.640721001608753
1995,5.958237667650895
1996,2.6403056179110465
1997,-4.404663416307784
1998,-7.279402028472775
1999,-6.183149566462522
2000,-7.2981110011765224
2001,-6.589540373028941
2002,-3.4327087560493474
2003,0.5286500378689176
2004,-2.683613656104603
2005,0.439949216227987
2006,0.7274960343479435
2007,1.0352467109442394
2008,0.8356431486699663
2009,8.552651320216999
2010,5.807964101427437
2011,-0.7022766924581525
2012,-0.3530072488267173
2013,0.08769120910371875
2014,-0.5235518720918897
2015,1.1118020186850046
2016,-0.5873269924492313
2017,-2.5992520952093443
2018,-2.2578655253536244
2019,-1.5697865825165742
2020,-4.910289502184211
2021,1.9764275301476388
2022,2.933861972036567
2023,1.8441896258576769
2024,0.044378593158937996
2025,1.8292889648934079
