year,value
2001,-0.021432655802819056
2002,-2.2726759164067314
2003,-3.76553992310102
2004,-1.020645522807495
2005,-0.2516370890842836
2006,-0.8856733222898097
2007,4.168440991240416
2008,3.7255341946578646
2009,-0.07784545307618096
2010,0.36078628113368794
2011,2.283774176122238
2012,0.4224777235362396
2013,-0.9342110368500958
2014,-1.1423564385431781
2015,-0.053283738534501524
2016,-0.6742516454484697
2017,0.7027695749970491
2018,2.2278928488014103
2019,1.6885626355376466
2020,0.7126418415556142
2021,0.44299819018047515
2022,-1.1556400317360689
2023,-0.45971448825119143
2024,-2.995515773026562
2025,-1.0254554228039838
