year,value
1971,0.8026410584290078
1972,0.43239174789390517
1973,0.38433698005516187
1974,-0.3288324496035425
1975,-0.9854181382575963
1976,-0.48554194023602704
1977,-0.43766168042847886
1978,-0.2541320744792274
1979,-0.3622331764422745
1980,-0.16874267345952465
1981,-0.17985741837859076
1982,0.27662764251756655
1983,0.2742357146367689
1984,0.07248053331397691
1985,-0.2888676706917017
1986,-0.18132486920576674
1987,-0.008728986687405182
1988,-0.05058637878011524
1989,-0.31966276703770413
1990,0.11295302048898936
1991,0.2697041193306123
1992,0.22522123800559307
1993,0.12623520663311483
1994,0.6503424026318883
1995,-0.14720876834618868
1996,0.32705748356747877
1997,0.0012147035362841119
1998,0.3462906617219481
1999,0.003582820459303915
2000,0.25253185477572065
2001,0.05525518284949127
2002,0.13471571661644244
2003,-0.1061603879724975
2004,0.02392175860478052
2005,-0.26498972106233143
2006,0.4083257722921277
2007,0.0029155787283088874
2008,0.29701666060229087
2009,0.13843760654693082
2010,0.07519739232605432
2011,-0.08011480321199305
2012,0.0366739071983449
2013,0.12253243548987597
2014,-0.09756218040812781
2015,0.09630365391415907
2016,-0.09691240693615394
2017,-0.13349701417527843
2018,-0.1344543431108821
2019,-0.31594728924949805
2020,0.26947256733899566
2021,-0.14717123202669669
2022,-0.12230133531230081
2023,-0.2554998314069154
2024,-0.2652058835983482
