year,value
1971,-0.07163087291306702
1972,-1.2271721057538656
1973,5.719799774111566
1974,16.777790334871842
1975,5.594423813863908
1976,3.842914340820643
1977,2.5768695900528114
1978,-1.165170931501799
1979,-1.4566002624275467
1980,2.394068723009952
1981,-0.30874501786052644
1982,-2.542728401987249
1983,-2.9226845523930614
1984,-2.069987836350315
1985,-2.2728246667196945
1986,-3.619462694234363
1987,-3.888252619816213
1988,-3.0645873253994917
1989,-1.4072016413714805
1990,-0.613376329543839
1991,-0.44666770324247285
1992,-1.7125949606677366
1993,-2.0608987317466383
1994,-2.247796837034203
1995,-2.9157980371815144
1996,-2.45521630861414
1997,-0.6747410195592656
1998,-1.714167370306598
1999,-2.4554736155321377
2000,-2.488333519248156
2001,-2.741333506172726
2002,-2.7277103946547685
2003,-1.8153587885189693
2004,-1.2059075086618765
2005,-1.3342368514137066
2006,-0.6539216355169069
2007,-0.6697604857794616
2008,0.48773950156730983
2009,-2.5805502021760143
2010,-0.9311402800043128
2011,-0.5292856685871588
2012,-0.21706019002133473
2013,0.3505765442705533
2014,2.9839833056651517
2015,1.1598076860923747
2016,0.3613748569408597
2017,1.2045284623419263
2018,1.8312664237946892
2019,1.433373277009567
2020,-1.6852967601411564
2021,-0.3888263235970154
2022,2.0741230837382054
2023,4.858654859816918
2024,4.510132275963471
2025,5.121075102719389
