year,value
1970,0.25714607766448694
1971,-0.40890741103163464
1972,0.5257453800729195
1973,0.03322792160673771
1974,-1.4576509972018243
1975,0.005652559692435943
1976,0.3943180212912978
1977,-0.1568292009919645
1978,0.23265959406066372
1979,0.1785643436735853
1980,0.011380471809331993
1981,0.21109292116757672
1982,-0.06371575138578578
1983,0.5583755201106726
1984,0.1324291965973714
1985,-0.1526032866530329
1986,-0.17496981377928478
1987,0.35331752398707295
1988,0.23394753095170984
1989,0.051434158693396625
1990,0.3208621608512203
1991,-0.07190718478128133
1992,-0.6105885666535613
1993,-0.15638187686288063
1994,0.38694252881300883
1995,0.030244973256529306
1996,0.08486981636193036
1997,-0.38902056717657274
1998,-0.5689410331590921
1999,0.24383348889784884
2000,0.17579450470874747
2001,-1.048374031334589
2002,0.49096621038744104
2003,0.3031709976308292
2004,-0.12052948437911937
2005,0.19235422380762657
2006,0.14990133909394388
2007,-0.006818432891549264
2008,-1.6960284648631188
2009,1.045185052415519
2010,0.24549165084684432
2011,0.08461545196325915
2012,-0.4427788591808479
2013,0.4328399719531859
2014,-0.10455713628321917
2015,-0.13020502797576228
2016,0.3776215055775509
2017,0.33779625216806153
2018,-0.03623490792288919
2019,-0.3536058907782973
2020,0.4686469968569611
2021,-0.326528312329728
2022,-0.14211868452680676
2023,0.13228031978175636
2024,-0.14981314618802344
2025,0.0863994015840035
