year,value
1970,3.6690399026989535
1971,5.7668862863953425
1972,11.256775914295025
1973,7.415576012064758
1974,-0.31215630414138396
1975,1.8770099556446738
1976,1.2719575129778296
1977,-1.2947131406782173
1978,-0.7985288410422839
1979,-0.3684563179060909
1980,-1.1635836167800129
1981,-1.2392256177269925
1982,0.36638280511682453
1983,-2.6525965361874215
1984,-3.352504274057801
1985,-1.7760027208142528
1986,-0.9563200086483619
1987,0.740479724459508
1988,1.362842639159405
1989,0.9511714601292933
1990,3.645742623594309
1991,-3.074601958497439
1992,-6.412864797567301
1993,-5.509665022876662
1994,-5.277687019140369
1995,-3.846664647704682
1996,-3.5949190115944534
1997,-3.7734990294230744
1998,-1.357517557863324
1999,-2.279837637035831
2000,-4.223038680921136
2001,-1.5569404038524075
2002,-0.928309656898501
2003,-3.1120792381960785
2004,-3.352313967615884
2005,-2.704781685094881
2006,-3.4974803102464174
2007,-2.6017693837285565
2008,-0.22930765371530049
2009,2.978203764343462
2010,-0.5797789927331554
2011,0.491339221553897
2012,0.9329668800725077
2013,2.2299961481631794
2014,2.1488837832582823
2015,2.7512777751162205
2016,3.0552610540057077
2017,3.5829172463506396
2018,2.367558552575154
2019,2.56169416426033
2020,3.9705669496875027
2021,-1.8462183829456178
2022,-2.1243485667419773
2023,3.491635172249408
2024,3.56541722607703
2025,3.3461282081264025
