country,variable,flavor,n,rss_m0,rss_m1,rss_m2,rss_m3,rss_m4,bic_m0,bic_m1,bic_m2,bic_m3,bic_m4
jp,investment_gdp,raw,54,36.2729,10.7389,4.6261,3.4646,2.563,-17.4983,-79.2382,-120.7262,-132.3489,-144.6361
jp,investment_gdp,ResidA,54,42.4462,15.3639,7.8672,7.0239,5.8746,-9.0114,-59.898,-92.0522,-94.186,-99.8461
jp,cpi_yoy,raw,55,268.3942,106.5405,86.5504,82.1451,76.6771,91.1891,44.3802,36.9587,38.0928,38.3115
jp,cpi_yoy,ResidA,55,195.1248,79.9371,66.0114,61.1368,56.3515,73.6542,28.5795,22.0592,21.8473,21.3719
jp,m2_yoy,raw,56,233.6271,72.4073,28.4608,23.8156,22.6197,84.0143,22.4402,-25.8261,-31.7791,-30.6389
jp,m2_yoy,ResidA,56,127.0609,43.1486,21.7565,20.4209,18.8526,49.907,-6.5486,-40.8687,-40.3911,-40.8406
cn,investment_gdp,raw,25,79.9447,48.9395,24.9237,,,32.2804,23.2305,9.5802,,
cn,investment_gdp,ResidA,25,45.9104,32.4324,14.8553,,,18.4143,12.9448,-3.3563,,
cn,cpi_yoy,raw,26,33.7207,29.1176,24.1128,,,10.0185,9.4606,7.8151,,
cn,cpi_yoy,ResidA,26,28.2423,25.5054,20.4184,,,5.4089,6.0168,3.4911,,
cn,m2_yoy,raw,26,21.263,9.0706,6.9137,,,-1.9712,-20.8632,-24.6652,,
cn,m2_yoy,ResidA,26,13.1927,7.4357,6.4759,,,-14.3813,-26.0306,-26.3661,,
