country,variable,flavor,m_max_cap,m_selected_BIC2,selected_at_boundary
jp,investment_gdp,raw,2,2,True
jp,investment_gdp,raw,3,3,True
jp,investment_gdp,raw,4,4,True
jp,investment_gdp,raw,5,5,True
jp,investment_gdp,raw,6,6,True
jp,investment_gdp,ResidA,2,2,True
jp,investment_gdp,ResidA,3,2,False
jp,investment_gdp,ResidA,4,2,False
jp,investment_gdp,ResidA,5,2,False
jp,investment_gdp,ResidA,6,2,False
jp,cpi_yoy,raw,2,2,True
jp,cpi_yoy,raw,3,2,False
jp,cpi_yoy,raw,4,2,False
jp,cpi_yoy,raw,5,2,False
jp,cpi_yoy,raw,6,2,False
jp,cpi_yoy,ResidA,2,2,True
jp,cpi_yoy,ResidA,3,2,False
jp,cpi_yoy,ResidA,4,2,False
jp,cpi_yoy,ResidA,5,2,False
jp,cpi_yoy,ResidA,6,2,False
jp,m2_yoy,raw,2,2,True
jp,m2_yoy,raw,3,3,True
jp,m2_yoy,raw,4,3,False
jp,m2_yoy,raw,5,3,False
jp,m2_yoy,raw,6,3,False
jp,m2_yoy,ResidA,2,2,True
jp,m2_yoy,ResidA,3,2,False
jp,m2_yoy,ResidA,4,2,False
jp,m2_yoy,ResidA,5,2,False
jp,m2_yoy,ResidA,6,2,False
cn,investment_gdp,raw,2,2,True
cn,investment_gdp,raw,3,2,False
cn,investment_gdp,raw,4,2,False
cn,investment_gdp,ResidA,2,2,True
cn,investment_gdp,ResidA,3,2,False
cn,investment_gdp,ResidA,4,2,False
cn,cpi_yoy,raw,2,0,False
cn,cpi_yoy,raw,3,0,False
cn,cpi_yoy,raw,4,0,False
cn,cpi_yoy,ResidA,2,0,False
cn,cpi_yoy,ResidA,3,0,False
cn,cpi_yoy,ResidA,4,0,False
cn,m2_yoy,raw,2,2,True
cn,m2_yoy,raw,3,3,True
cn,m2_yoy,raw,4,3,False
cn,m2_yoy,ResidA,2,1,False
cn,m2_yoy,ResidA,3,1,False
cn,m2_yoy,ResidA,4,1,False
