column,channel,D_CN,n_J90,n_J00,feasible,status
Baseline^{full},cpi_yoy,0.0112,8,3,True,OK
Baseline^{avail},cpi_yoy,,6,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
-E01,cpi_yoy,0.0112,8,3,True,OK
-E02,cpi_yoy,0.045,9,3,True,OK
-E03,cpi_yoy,0.0112,8,3,True,OK
-E05,cpi_yoy,,6,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
Baseline^{full},m2_yoy,0.3685,7,3,True,OK
Baseline^{avail},m2_yoy,0.3899,5,3,True,OK
-E01,m2_yoy,0.3685,7,3,True,OK
-E02,m2_yoy,0.4424,7,4,True,OK
-E03,m2_yoy,0.3685,7,3,True,OK
-E05,m2_yoy,0.3899,5,3,True,OK
Baseline^{full},investment_gdp,0.7534,7,4,True,OK
Baseline^{avail},investment_gdp,,5,3,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
-E01,investment_gdp,0.1364,6,5,True,OK
-E02,investment_gdp,0.9824,7,5,True,OK
-E03,investment_gdp,0.7534,7,4,True,OK
-E05,investment_gdp,,5,3,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
