column,channel,D_CN,n_J90_group,n_J00_group,n_J90_valid,n_J00_valid,feasible,status
Baseline^{full},cpi_yoy,0.0112,8,3,8,3,True,OK
Baseline^{avail},cpi_yoy,,6,2,6,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
-E01,cpi_yoy,0.0112,8,3,8,3,True,OK
-E02,cpi_yoy,0.045,9,3,9,3,True,OK
-E03,cpi_yoy,0.0112,8,3,8,3,True,OK
-E05,cpi_yoy,,6,2,6,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
Baseline^{full},m2_yoy,0.3685,7,3,7,3,True,OK
Baseline^{avail},m2_yoy,0.3899,5,3,5,3,True,OK
-E01,m2_yoy,0.3685,7,3,7,3,True,OK
-E02,m2_yoy,0.4424,7,4,7,4,True,OK
-E03,m2_yoy,0.3685,7,3,7,3,True,OK
-E05,m2_yoy,0.3899,5,3,5,3,True,OK
Baseline^{full},investment_gdp,0.7534,7,4,7,3,True,OK
Baseline^{avail},investment_gdp,,5,3,5,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
-E01,investment_gdp,0.1364,6,5,6,4,True,OK
-E02,investment_gdp,0.9824,7,5,7,4,True,OK
-E03,investment_gdp,0.7534,7,4,7,3,True,OK
-E05,investment_gdp,,5,3,5,2,False,INFEASIBLE_AFTER_PRESPECIFIED_MASK
