column,regime,share13,share_avail,N
Baseline^{full},J90,0.5385,0.5385,7
Baseline^{full},JGAP,0.1538,0.1538,2
Baseline^{full},J00,0.3077,0.3077,4
Baseline^{full},OTHER,0.0,0.0,0
Baseline^{full},N_masked,,,0
Baseline^{avail},J90,0.3846,0.5,5
Baseline^{avail},JGAP,0.1538,0.2,2
Baseline^{avail},J00,0.2308,0.3,3
Baseline^{avail},OTHER,0.0,0.0,0
Baseline^{avail},N_masked,,,3
-E01,J90,0.5385,0.5385,7
-E01,JGAP,0.1538,0.1538,2
-E01,J00,0.3077,0.3077,4
-E01,OTHER,0.0,0.0,0
-E01,N_masked,,,0
-E02,J90,0.5385,0.5385,7
-E02,JGAP,0.0769,0.0769,1
-E02,J00,0.3846,0.3846,5
-E02,OTHER,0.0,0.0,0
-E02,N_masked,,,0
-E03,J90,0.5385,0.5385,7
-E03,JGAP,0.1538,0.1538,2
-E03,J00,0.3077,0.3077,4
-E03,OTHER,0.0,0.0,0
-E03,N_masked,,,0
-E05,J90,0.3846,0.5,5
-E05,JGAP,0.1538,0.2,2
-E05,J00,0.2308,0.3,3
-E05,OTHER,0.0,0.0,0
-E05,N_masked,,,3
