column,from,to,n,prob
Baseline^{full},J00,J00,0,0.0
Baseline^{full},J00,J90,2,0.667
Baseline^{full},J00,JGAP,1,0.333
Baseline^{full},J90,J00,3,0.429
Baseline^{full},J90,J90,3,0.429
Baseline^{full},J90,JGAP,1,0.143
Baseline^{full},JGAP,J00,1,0.5
Baseline^{full},JGAP,J90,1,0.5
Baseline^{full},JGAP,JGAP,0,0.0
Baseline^{avail},J00,J00,0,0.0
Baseline^{avail},J00,J90,1,0.5
Baseline^{avail},J00,JGAP,1,0.5
Baseline^{avail},J90,J00,2,0.4
Baseline^{avail},J90,J90,2,0.4
Baseline^{avail},J90,JGAP,1,0.2
Baseline^{avail},JGAP,J00,1,0.5
Baseline^{avail},JGAP,J90,1,0.5
Baseline^{avail},JGAP,JGAP,0,0.0
-E01,J00,J00,0,0.0
-E01,J00,J90,2,0.667
-E01,J00,JGAP,1,0.333
-E01,J90,J00,3,0.429
-E01,J90,J90,3,0.429
-E01,J90,JGAP,1,0.143
-E01,JGAP,J00,1,0.5
-E01,JGAP,J90,1,0.5
-E01,JGAP,JGAP,0,0.0
-E02,J00,J00,2,0.5
-E02,J00,J90,2,0.5
-E02,J00,JGAP,0,0.0
-E02,J90,J00,3,0.429
-E02,J90,J90,3,0.429
-E02,J90,JGAP,1,0.143
-E02,JGAP,J00,0,0.0
-E02,JGAP,J90,1,1.0
-E02,JGAP,JGAP,0,0.0
-E03,J00,J00,0,0.0
-E03,J00,J90,2,0.667
-E03,J00,JGAP,1,0.333
-E03,J90,J00,3,0.429
-E03,J90,J90,3,0.429
-E03,J90,JGAP,1,0.143
-E03,JGAP,J00,1,0.5
-E03,JGAP,J90,1,0.5
-E03,JGAP,JGAP,0,0.0
-E05,J00,J00,0,0.0
-E05,J00,J90,1,0.5
-E05,J00,JGAP,1,0.5
-E05,J90,J00,2,0.4
-E05,J90,J90,2,0.4
-E05,J90,JGAP,1,0.2
-E05,JGAP,J00,1,0.5
-E05,JGAP,J90,1,0.5
-E05,JGAP,JGAP,0,0.0
