variable,country,file,range,n,nominal_window_req,primary_window_obs,effective_window_start,effective_window_req,structural_pre_start_excluded,effective_obs,coverage_ratio_effective,sampling_density,gate_role
boj_ffa_corp_liab,JP,h6b_q_boj_ffa_corp_liab.csv,1964-Q2..2026-Q1,124,84,42,1985-Q1,84,FALSE,42,0.5,SEMIANNUAL_LEGACY,SECONDARY_AUX
cn_pboc_sector_credit,CN,h6b_q_cn_pboc_sector_credit.csv,2010-Q1..2026-Q2,66,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
corporate_land_share,JP,h6b_q_corporate_land_share.csv,1954-Q2..2026-Q1,288,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,SECONDARY_AUX
corporate_leverage,JP,h6b_q_corporate_leverage.csv,1954-Q2..2026-Q1,288,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
corporate_leverage_cn,CN,h6b_q_corporate_leverage_cn.csv,2011-Q1..2026-Q2,62,66,62,2011-Q1,62,TRUE,62,1.0,QUARTERLY,PRIMARY
corporate_profitability,JP,h6b_q_corporate_profitability.csv,1954-Q2..2026-Q1,288,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
corporate_profitability_cn,CN,h6b_q_corporate_profitability_cn.csv,2011-Q1..2026-Q2,62,66,62,2011-Q1,62,TRUE,62,1.0,QUARTERLY,PRIMARY
credit_flow_jp,JP,h6b_q_credit_flow_jp.csv,1994-Q1..2026-Q1,129,84,48,1994-Q1,48,TRUE,48,1.0,QUARTERLY,SECONDARY_AUX
credit_impulse_jp,JP,h6b_q_credit_impulse_jp.csv,1994-Q2..2026-Q1,128,84,47,1994-Q2,47,TRUE,47,1.0,QUARTERLY,SECONDARY_AUX
developer_funding_cn,CN,h6b_q_developer_funding_cn.csv,2000-Q1..2026-Q2,106,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
hh_credit_gdp,CN,h6b_q_hh_credit_gdp.csv,2006-Q1..2025-Q4,80,66,64,2010-Q1,66,FALSE,64,0.9697,QUARTERLY,PRIMARY
hh_credit_gdp,JP,h6b_q_hh_credit_gdp.csv,1964-Q4..2025-Q4,245,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
housing_starts_cn,CN,h6b_q_housing_starts_cn.csv,2000-Q1..2026-Q2,103,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
housing_starts_jp,JP,h6b_q_housing_starts_jp.csv,1965-Q1..2026-Q2,246,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
i_q_gfcf_jp,JP,h6b_q_i_q_gfcf_jp.csv,1955-Q1..2026-Q2,286,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
mof_interest_burden,JP,h6b_q_mof_interest_burden.csv,1954-Q2..2026-Q1,288,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
nfc_credit_gdp,CN,h6b_q_nfc_credit_gdp.csv,2006-Q1..2025-Q4,80,66,64,2010-Q1,66,FALSE,64,0.9697,QUARTERLY,PRIMARY
nfc_credit_gdp,JP,h6b_q_nfc_credit_gdp.csv,1964-Q4..2025-Q4,245,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
property_investment_cn,CN,h6b_q_property_investment_cn.csv,2000-Q1..2026-Q2,106,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
property_sales_area_cn,CN,h6b_q_property_sales_area_cn.csv,2000-Q1..2026-Q2,106,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
property_sales_value_cn,CN,h6b_q_property_sales_value_cn.csv,2000-Q1..2026-Q2,106,66,66,2010-Q1,66,FALSE,66,1.0,QUARTERLY,PRIMARY
residential_property_price,CN,h6b_q_residential_property_price.csv,2005-Q2..2026-Q1,84,66,65,2010-Q1,66,FALSE,65,0.9848,QUARTERLY,PRIMARY
residential_property_price,JP,h6b_q_residential_property_price.csv,1955-Q1..2025-Q4,284,84,84,1985-Q1,84,FALSE,84,1.0,QUARTERLY,PRIMARY
