filename,artifact_role,provider,source_url,retrieved_at,sha256,bytes,frequency,unit,concept,note
h6/01_raw/jp/mof_corporate/assets.xls,RAW_SOURCE,MOF,https://www.mof.go.jp/english/pri/reference/ssc/historical/assets.xls,2026-09-07,10fa2311402b2f76f9afa3c0dca7c37e97c59a8b0d8c43a31a4229132769a362,1033728,Q,100M yen,corp_leverage/land,H1-lineage copy; sha == H1 manifest 10fa2311
h6/01_raw/jp/mof_corporate/income.xls,RAW_SOURCE,MOF,https://www.mof.go.jp/english/pri/reference/ssc/historical/income.xls,2026-09-07,b006b16ab11c26f891bc8891b09dd3fee80b5384e408ba2278f772dd63fdb50c,418304,Q,100M yen,corp_profit/interest,H1-lineage copy; sha == H1 b006b16a
h6/01_raw/jp/mof_corporate/liabilities.xls,RAW_SOURCE,MOF,https://www.mof.go.jp/english/pri/reference/ssc/historical/liabilities.xls,2026-09-07,ee86a1cdbf69706fbee1a1667e92ca26f07ab08f1652c7921065ea13a329008f,912896,Q,100M yen,corp_leverage,H1-lineage copy; sha == H1 ee86a1cd
h6/01_raw/jp/mlit_property/001989457.xls,RAW_SOURCE,MLIT,https://www.mlit.go.jp/totikensangyo/content/001989457.xls,2026-09-07,9b6b38399e9e5361545baf3f3dd3307e044dc10f643cefe9a7ea6b2d19a222b9,27941376,A,yen/m2,land_price,H1-lineage copy; sha == H1 9b6b3839
h6/01_raw/jp/mlit_property/land_price_annual_national_residential_mlit_1975_2026.csv,RAW_SOURCE,MLIT(derived),extracted from 001989457.xls,2026-09-07,66d25e3de729b1d3b8c089722e294c7b9296cf71cb169c50910ce3ff0d4e6ad6,1554,A,yen/m2,land_price,H1-lineage copy; sha == H1 66d25e3d
h6/01_raw/jp/esri/def_fy01168.csv,RAW_SOURCE,ESRI,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/gaku/2024/gaku_jg01168.csv (68SNA quarterly),2026-09-07,3ff6a4b326ba7fcca96eafd9a9a194594a4798f664320ff9a4564600dbc95740,7718,Q,varies,gdp/gfcf,H1-lineage copy of 68SNA quarterly (1955-2001)
h6/01_raw/jp/esri/gaku_jfy01168.csv,RAW_SOURCE,ESRI,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/gaku/2024/gaku_jg01168.csv (68SNA quarterly),2026-09-07,aa7bbdcfb3745211408342f60d1974eadca0b187020891dfecf24c77d24780ed,11797,Q,varies,gdp/gfcf,H1-lineage copy of 68SNA quarterly (1955-2001)
h6/01_raw/jp/esri/gaku_jg01168.csv,RAW_SOURCE,ESRI,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/gaku/2024/gaku_jg01168.csv (68SNA quarterly),2026-09-07,908d530120e006854eaf34a9465ee81ccd6613e892e1a2fdffca24341482d1f9,29698,Q,varies,gdp/gfcf,H1-lineage copy of 68SNA quarterly (1955-2001)
h6/01_raw/jp/esri/gaku_mfy01168.csv,RAW_SOURCE,ESRI,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/gaku/2024/gaku_jg01168.csv (68SNA quarterly),2026-09-07,67843aaae113619632cb96c6a5cf52d85db5389146b3021fcc3e3323be839aa0,10952,Q,varies,gdp/gfcf,H1-lineage copy of 68SNA quarterly (1955-2001)
h6/01_raw/jp/esri/gaku_mg01168_1.csv,RAW_SOURCE,ESRI,https://www.esri.cao.go.jp/jp/sna/data/data_list/sokuhou/files/gaku/2024/gaku_jg01168.csv (68SNA quarterly),2026-09-07,f4aad88963a924a5f2830b591c4a3a5ff9198ca4027513fb8e983014a626f3f8,28927,Q,varies,gdp/gfcf,H1-lineage copy of 68SNA quarterly (1955-2001)
h6/01_raw/bis_credit/WS_TC_csv_flat.csv,RAW_SOURCE,BIS,https://data.bis.org/static/bulk/WS_TC_csv_flat.zip,2026-09-07,e6682410b662cc0049cbdcfed60d15bb65b63b9e9d93037baf130339c9a7ab6f,74002676,Q,%GDP/level,nfc/hh credit,bulk flat; downloaded 2026-09-07 pre-B0 probe now formalized; data through 2025Q4
h6/01_raw/bis_property_price/WS_SPP_csv_flat.csv,RAW_SOURCE,BIS,https://data.bis.org/static/bulk/WS_SPP_csv_flat.zip,2026-09-07,faa388355ae735d24b6de00d95df411f92a1468afeb03200e818385648d981f8,6641237,Q,index 2010=100,residential property price,bulk flat; JP 1955Q1+ CN 2005Q2+; data through 2026Q1
