country,year,i_ratio_annual_pct,variable,unit,source_note
JP,1985,27.4764,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1986,27.2759,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1987,28.3486,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1988,29.6429,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1989,30.5685,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1990,31.7335,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1991,31.42,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1992,30.4711,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1993,29.5411,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1994,28.6465,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1995,28.4779,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1996,29.4667,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1997,28.5706,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1998,26.7991,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,1999,26.0734,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2000,25.6098,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2001,26.5731,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2002,25.6309,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2003,25.5923,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2004,25.4546,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
JP,2005,26.0747,investment_gdp,pct_of_gdp,"H6A annual JP investment_gdp pct: 68SNA 1955-2000 + 2008SNA GFCF/NGDP 2001-2023 (unit FIXED /1e9); 2024-25 gap; B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2010,48.0626,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2011,48.3146,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2012,47.7617,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2013,45.92,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2014,45.31,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2015,42.73,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2016,42.14,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2017,42.55,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2018,43.31,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2019,42.67,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2020,42.57,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2021,42.68,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2022,42.36,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2023,41.13,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
CN,2024,40.48,investment_gdp,pct_of_gdp,"H6A annual CN investment_gdp pct: NBS 2013年鉴 1978-2012 + WB NE.GDI 2013-2024 (2013 SNA revision ~2pp, noted); B4 I_ratio 年度连续性锚 (aux, 不进主 Verdict)"
