gate,link,country,track,model,status,theta_L3,ci90_lo_L3,ci90_hi_L3,theta_L2,ci_L2,valid_L2,theta_L4,ci_L4,valid_L4,valid_share_L3,n_grid
B1,P[PRICE]->B,JP,firstdiff,,OK,-0.162,-0.2642,-0.057,-0.162,"(-0.245,-0.072)",1.0,-0.162,"(-0.269,-0.046)",1.0,1.0,84
B1,P[PRICE]->B,CN,firstdiff,,OK,0.085,-0.025,0.1783,0.085,"(-0.012,+0.173)",1.0,0.085,"(-0.030,+0.181)",1.0,1.0,57
B1,P[ACTIVITY]->B,JP,firstdiff,,OK,-0.0403,-0.0994,0.022,-0.0403,"(-0.102,+0.031)",1.0,-0.0403,"(-0.088,+0.009)",1.0,1.0,84
B1,P[ACTIVITY]->B,CN,firstdiff,,OK,0.0824,0.0424,0.1352,0.0824,"(+0.035,+0.137)",1.0,0.0824,"(+0.052,+0.122)",1.0,1.0,57
B1,P[INV_SALES]->B,CN,firstdiff,,OK,0.1306,0.0865,0.1759,0.1306,"(+0.090,+0.172)",1.0,0.1306,"(+0.089,+0.168)",1.0,1.0,57
B2,B->R,JP,firstdiff,,OK,-0.0021,-0.0452,0.0453,-0.0021,"(-0.048,+0.048)",1.0,-0.0021,"(-0.044,+0.042)",1.0,1.0,84
B2,B->R,CN,firstdiff,,OK,0.1054,0.0576,0.1537,0.1054,"(+0.048,+0.156)",1.0,0.1054,"(+0.056,+0.152)",1.0,1.0,57
B3a,R->C[nfc],JP,firstdiff,,OK,-0.0116,-0.0961,0.0724,-0.0116,"(-0.101,+0.080)",1.0,-0.0116,"(-0.078,+0.055)",1.0,1.0,84
B3a,R->C[hh],JP,firstdiff,,OK,-0.0335,-0.125,0.0577,-0.0335,"(-0.134,+0.067)",1.0,-0.0335,"(-0.100,+0.032)",1.0,1.0,84
B3a,R->C[nfc],CN,firstdiff,,OK,-0.0796,-0.1746,0.0102,-0.0796,"(-0.174,+0.010)",1.0,-0.0796,"(-0.148,-0.035)",1.0,1.0,55
B3a,R->C[hh],CN,firstdiff,,OK,-0.0461,-0.1381,0.0674,-0.0461,"(-0.128,+0.062)",1.0,-0.0461,"(-0.113,+0.040)",1.0,1.0,55
B3a,R->C[pboc],CN,firstdiff,,OK,-0.1069,-0.2084,-0.0086,-0.1069,"(-0.200,-0.004)",1.0,-0.1069,"(-0.160,-0.040)",1.0,1.0,57
B4,C[nfc]->I,JP,firstdiff,,OK,0.0265,-0.0222,0.0675,0.0265,"(-0.021,+0.071)",1.0,0.0265,"(-0.017,+0.063)",1.0,1.0,84
B4,C[hh]->I,JP,firstdiff,,OK,0.0393,-0.0284,0.0954,0.0393,"(-0.020,+0.092)",1.0,0.0393,"(-0.030,+0.097)",1.0,1.0,84
B4,C[nfc]->I,CN,firstdiff,,OK,0.0348,-0.0651,0.1397,0.0348,"(-0.062,+0.137)",1.0,0.0348,"(-0.070,+0.149)",1.0,1.0,61
