quarter,value,variable,country,unit,source_note
1971-Q1,6.1743,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q2,7.177,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q3,7.2189,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1971-Q4,6.0046,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q1,5.3592,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q2,5.0223,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q3,4.9669,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1972-Q4,5.6645,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q1,7.5758,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q2,10.2019,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q3,12.1977,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1973-Q4,15.2577,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q1,21.7304,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q2,22.1794,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q3,22.6804,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1974-Q4,23.3453,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q1,15.8678,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q2,13.4964,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q3,11.3063,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
1975-Q4,7.9043,d_cpi_core,JP,yoy_pct,e-Stat 2025基准 CPI 核心(除生鲜食品) 季均YoY
