quarter,value,variable,country,unit,source_note
2008-Q1,8.044,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2008-Q2,7.7612,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2008-Q3,5.2815,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2008-Q4,2.5361,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2009-Q1,-0.5932,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2009-Q2,-1.5238,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2009-Q3,-1.2661,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2009-Q4,0.6286,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2010-Q1,2.1987,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2010-Q2,2.9416,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2010-Q3,3.4631,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2010-Q4,4.6902,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2011-Q1,5.0798,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2011-Q2,5.738,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2011-Q3,6.2231,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2011-Q4,4.5968,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2012-Q1,3.7651,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2012-Q2,2.8388,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2012-Q3,1.9,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2012-Q4,2.0667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2013-Q1,2.4333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2013-Q2,2.3994,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2013-Q3,2.8,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2013-Q4,2.8996,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2014-Q1,2.3,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2014-Q2,2.2005,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2014-Q3,1.9667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2014-Q4,1.5004,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2015-Q1,1.2,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2015-Q2,1.3667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2015-Q3,1.7319,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2015-Q4,1.4667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2016-Q1,2.1333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2016-Q2,2.0667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2016-Q3,1.6667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2016-Q4,2.1667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2017-Q1,1.4,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2017-Q2,1.4,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2017-Q3,1.6,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2017-Q4,1.8,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2018-Q1,2.1667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2018-Q2,1.8333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2018-Q3,2.3,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2018-Q4,2.2,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2019-Q1,1.8333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2019-Q2,2.6333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2019-Q3,2.8667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2019-Q4,4.2667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2020-Q1,4.9667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2020-Q2,2.7333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2020-Q3,2.2667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2020-Q4,0.0667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2021-Q1,-0.0333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2021-Q2,1.1,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2021-Q3,0.8333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2021-Q4,1.7667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2022-Q1,1.1,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2022-Q2,2.2333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2022-Q3,2.6667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2022-Q4,1.8333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2023-Q1,1.2667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2023-Q2,0.1,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2023-Q3,-0.0667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2023-Q4,-0.3333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2024-Q1,-0.0,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2024-Q2,0.2667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2024-Q3,0.5,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2024-Q4,0.2,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2025-Q1,-0.1,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2025-Q2,-0.0333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2025-Q3,-0.2333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2025-Q4,0.5667,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2026-Q1,0.8333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
2026-Q2,1.1333,d_cpi_headline,CN,yoy_pct,NBS CPI 当月同比 季均(akshare)
