quarter,value,variable,country,unit,source_note
1971-Q1,6.1425,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1971-Q2,6.4165,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1971-Q3,7.3671,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1971-Q4,5.7579,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1972-Q1,4.6296,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1972-Q2,5.1195,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1972-Q3,4.8369,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1972-Q4,5.0,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1973-Q1,7.4115,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1973-Q2,10.3896,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1973-Q3,12.5536,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1973-Q4,15.873,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1974-Q1,23.069,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1974-Q2,22.549,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1974-Q3,23.4509,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1974-Q4,23.2877,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1975-Q1,15.3138,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1975-Q2,13.28,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1975-Q3,10.4247,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1975-Q4,8.6667,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
1976-Q1,8.926,d_cpi_headline,JP,yoy_pct,e-Stat 2025基准 CPI 综合 月度指数->季均YoY(1971Q1-2026Q2;2025base 回溯衔接)
