quarter,value,variable,country,unit,source_note
1995-Q1,-0.3532,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q2,-0.885,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q3,-0.4209,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q4,-0.4694,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q1,-0.4491,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q2,-0.2193,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q3,-0.4293,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q4,-0.6673,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q1,-0.3096,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q2,0.7573,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q3,0.6461,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q4,0.978,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q1,0.9657,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q2,-0.2759,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q3,-0.4277,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q4,-0.3621,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q1,-0.8306,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q2,-1.054,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q3,-1.3141,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q4,-1.6858,d_gdp_deflator,JP,yoy_pct,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
