quarter,value,variable,country,unit,source_note
1984-Q1,-0.6545,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1984-Q2,0.086,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1984-Q3,0.4313,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1984-Q4,0.2295,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1985-Q1,0.5443,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1985-Q2,-0.4008,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1985-Q3,-1.3169,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1985-Q4,-2.261,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1986-Q1,-3.5897,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1986-Q2,-4.3403,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1986-Q3,-4.9608,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1986-Q4,-5.7687,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1987-Q1,-5.4669,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1987-Q2,-4.2368,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1987-Q3,-2.0757,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1987-Q4,0.0932,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1988-Q1,0.1563,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1988-Q2,0.0,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1988-Q3,-0.5299,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1988-Q4,-0.9314,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1989-Q1,-0.2809,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1989-Q2,2.7926,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1989-Q3,3.1338,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1989-Q4,2.9771,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1990-Q1,3.2551,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1990-Q2,0.7021,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1990-Q3,0.6077,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1990-Q4,1.7955,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1991-Q1,1.7581,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1991-Q2,1.6672,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1991-Q3,1.0873,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1991-Q4,-0.1196,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1992-Q1,-0.7745,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1992-Q2,-0.9243,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1992-Q3,-0.8664,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1992-Q4,-1.1075,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1993-Q1,-1.1108,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1993-Q2,-1.4445,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1993-Q3,-1.8385,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1993-Q4,-2.0581,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1994-Q1,-2.1251,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1994-Q2,-1.9847,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1994-Q3,-1.6887,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1994-Q4,-1.2052,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1995-Q1,-0.4637,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1995-Q2,-0.4141,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1995-Q3,-0.6693,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1995-Q4,-0.8407,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1996-Q1,-1.6272,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1996-Q2,-1.9899,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1996-Q3,-2.209,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1996-Q4,-2.0665,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1997-Q1,-1.6541,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1997-Q2,0.6667,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1997-Q3,0.8547,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1997-Q4,0.5199,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1998-Q1,-0.0306,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1998-Q2,-2.4082,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1998-Q3,-2.3305,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1998-Q4,-2.4034,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1999-Q1,-2.6308,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1999-Q2,-2.1592,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1999-Q3,-1.6424,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
1999-Q4,-0.904,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2000-Q1,0.0943,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2000-Q2,-0.0631,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2000-Q3,-0.5041,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2000-Q4,-1.0695,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2001-Q1,-1.9774,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2001-Q2,-2.2082,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2001-Q3,-2.7549,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2001-Q4,-3.275,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2002-Q1,-3.106,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2002-Q2,-2.5806,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2002-Q3,-2.2794,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2002-Q4,-1.6437,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2003-Q1,-1.2558,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2003-Q2,-1.6225,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2003-Q3,-1.2662,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2003-Q4,-1.3703,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2004-Q1,-0.9036,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2004-Q2,0.1346,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2004-Q3,0.7762,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2004-Q4,1.1522,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2005-Q1,0.304,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2005-Q2,0.7059,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2005-Q3,0.7703,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2005-Q4,1.34,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2006-Q1,2.1549,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2006-Q2,1.8692,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2006-Q3,2.1934,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2006-Q4,1.4215,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2007-Q1,0.824,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2007-Q2,1.2779,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2007-Q3,1.0407,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2007-Q4,1.9883,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2008-Q1,3.171,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2008-Q2,4.1734,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2008-Q3,6.6302,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2008-Q4,2.4289,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2009-Q1,-2.5665,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2009-Q2,-5.0,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2009-Q3,-7.1838,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2009-Q4,-4.4618,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2010-Q1,-0.4252,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2010-Q2,0.1622,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2010-Q3,-0.9223,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2010-Q4,-0.2021,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2011-Q1,0.7321,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2011-Q2,1.5963,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2011-Q3,1.806,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2011-Q4,0.4001,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2012-Q1,-0.3964,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2012-Q2,-1.9313,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2012-Q3,-2.8581,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2012-Q4,-1.6938,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2013-Q1,-0.9619,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2013-Q2,-0.1001,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2013-Q3,1.5218,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2013-Q4,1.6892,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2014-Q1,1.2726,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2014-Q2,3.7755,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2014-Q3,3.6975,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2014-Q4,2.4585,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2015-Q1,0.066,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2015-Q2,-2.2199,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2015-Q3,-3.15,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2015-Q4,-3.3472,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2016-Q1,-3.1883,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2016-Q2,-4.004,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2016-Q3,-3.4333,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2016-Q4,-1.8543,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2017-Q1,1.1664,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2017-Q2,1.9648,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2017-Q3,2.0711,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2017-Q4,2.5421,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2018-Q1,1.7972,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2018-Q2,2.0284,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2018-Q3,2.5025,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2018-Q4,1.7755,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2019-Q1,0.3664,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2019-Q2,0.3645,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2019-Q3,-0.6598,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2019-Q4,0.6254,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2020-Q1,1.1616,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2020-Q2,-2.0799,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2020-Q3,-0.7307,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2020-Q4,-1.9954,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2021-Q1,-0.3281,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2021-Q2,4.5179,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2021-Q3,5.4199,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2021-Q4,7.6101,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2022-Q1,7.6366,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2022-Q2,7.7097,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2022-Q3,7.6484,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
2022-Q4,6.9479,d_ppi,JP,yoy_pct,FRED JPNPPDMMINMEI 季均->YoY
