quarter,value,variable,country,unit,source_note
2011-Q1,18.1642,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2011-Q2,14.5938,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2011-Q3,11.0539,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2011-Q4,9.8758,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2012-Q1,7.878,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2012-Q2,7.7695,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2012-Q3,7.9602,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2012-Q4,6.7642,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2013-Q1,7.4998,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2013-Q2,7.5903,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2013-Q3,9.0414,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2013-Q4,9.422,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2014-Q1,10.2314,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2014-Q2,11.6682,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2014-Q3,11.3487,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2014-Q4,14.1536,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2015-Q1,14.8591,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2015-Q2,14.0653,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2015-Q3,13.2396,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2015-Q4,11.4623,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2016-Q1,12.6524,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2016-Q2,11.4293,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2016-Q3,11.2831,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2016-Q4,12.0518,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2017-Q1,13.2749,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2017-Q2,15.7598,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2017-Q3,17.3733,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2017-Q4,16.6883,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2018-Q1,14.8226,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2018-Q2,13.6556,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2018-Q3,13.0633,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2018-Q4,12.3602,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2019-Q1,12.2643,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2019-Q2,11.227,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2019-Q3,11.2295,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2019-Q4,11.8154,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q1,11.9403,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q2,13.39,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
2020-Q3,14.9376,cn_pboc_credit_yoy,CN,yoy_pct,PBOC 企业中长期贷款余额 YoY(由 h6b_q_cn_pboc_sector_credit 构造); B3b CN demand proxy
