quarter,value,variable,country,unit,source_note
1994-Q2,-0.029857,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1994-Q3,0.054143,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1994-Q4,0.01597,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1995-Q1,-0.025209,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1995-Q2,-0.046677,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1995-Q3,0.077283,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1995-Q4,-0.020335,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1996-Q1,0.006682,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1996-Q2,-0.057569,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1996-Q3,0.022411,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1996-Q4,0.044519,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1997-Q1,-0.022855,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1997-Q2,-0.050624,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1997-Q3,0.040751,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1997-Q4,0.029962,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1998-Q1,-0.074947,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1998-Q2,-0.016216,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
1998-Q3,0.065279,credit_impulse_jp,JP,ratio,"Credit Impulse = CF_t - CF_{t-1}, CF = FFA transaction flow / Nominal GDP (see credit_flow_jp source_note: JPNNGDP NOT SAAR, quarterly SA, Billion Yen x10 = 億円); B0 semantics CREDIT_DEMAND_PROXY_EVIDENCE; covers 1994Q2+; cutoff 2026Q1"
