quarter,value,variable,country,unit,source_note
1984-Q1,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1984-Q2,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1984-Q3,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1984-Q4,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1985-Q1,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1985-Q2,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1985-Q3,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1985-Q4,5.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1986-Q1,4.3333,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1986-Q2,3.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1986-Q3,3.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1986-Q4,3.1667,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1987-Q1,2.6667,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1987-Q2,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1987-Q3,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1987-Q4,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1988-Q1,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1988-Q2,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1988-Q3,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1988-Q4,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1989-Q1,2.5,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1989-Q2,3.0,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1989-Q3,3.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1989-Q4,3.9167,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q1,4.5833,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q2,5.25,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
1990-Q3,5.75,jp_policy_rate_discount,JP,percent,"FRED INTDSRJPM193N 贴现率 月均->季均(1984Q1-2017Q2, 2017-04 停更); B3b stance JP 政策利率(贴现率); JP 主窗 1985Q1-2005Q4 全覆"
