gate,link,country,track,model,status,theta_L3,ci90_lo_L3,ci90_hi_L3,theta_L2,ci_L2,valid_L2,theta_L4,ci_L4,valid_L4,valid_share_L3,n_grid
B1,P[PRICE]->B,JP,raw,,OK,-0.369,-0.7335,0.0158,-0.369,"(-0.667,-0.058)",1.0,-0.369,"(-0.767,+0.062)",1.0,1.0,84
B1,P[PRICE]->B,CN,raw,,OK,0.4852,0.1087,0.7043,0.4852,"(+0.194,+0.680)",1.0,0.4852,"(+0.038,+0.718)",1.0,1.0,58
B1,P[ACTIVITY]->B,JP,raw,,OK,-0.5664,-0.7598,-0.3771,-0.5664,"(-0.730,-0.384)",1.0,-0.5664,"(-0.777,-0.351)",1.0,1.0,84
B1,P[ACTIVITY]->B,CN,raw,,OK,0.4084,0.1991,0.5256,0.4084,"(+0.215,+0.523)",1.0,0.4084,"(+0.177,+0.519)",1.0,1.0,58
B1,P[INV_SALES]->B,CN,raw,,OK,0.6156,0.4224,0.7013,0.6156,"(+0.453,+0.715)",1.0,0.6156,"(+0.385,+0.685)",1.0,1.0,58
B2,B->R,JP,raw,,OK,0.1838,-0.1557,0.4431,0.1838,"(-0.086,+0.409)",1.0,0.1838,"(-0.211,+0.477)",1.0,1.0,84
B2,B->R,CN,raw,,OK,0.3772,0.2549,0.4861,0.3772,"(+0.264,+0.476)",1.0,0.3772,"(+0.238,+0.501)",1.0,1.0,58
B3a,R->C[nfc],JP,raw,,OK,-0.4952,-0.6876,-0.2021,-0.4952,"(-0.669,-0.258)",1.0,-0.4952,"(-0.707,-0.159)",1.0,1.0,84
B3a,R->C[hh],JP,raw,,OK,-0.4854,-0.649,-0.2677,-0.4854,"(-0.632,-0.295)",1.0,-0.4854,"(-0.660,-0.232)",1.0,1.0,84
B3a,R->C[nfc],CN,raw,,OK,-0.2664,-0.4247,-0.0539,-0.2664,"(-0.427,-0.074)",1.0,-0.2664,"(-0.418,-0.063)",1.0,1.0,56
B3a,R->C[hh],CN,raw,,OK,0.0614,-0.1445,0.3057,0.0614,"(-0.152,+0.297)",1.0,0.0614,"(-0.136,+0.289)",1.0,1.0,56
B3a,R->C[pboc],CN,raw,,OK,-0.0452,-0.2621,0.266,-0.0452,"(-0.270,+0.221)",1.0,-0.0452,"(-0.284,+0.260)",1.0,1.0,58
B4,C[nfc]->I,JP,raw,,OK,0.6886,0.4852,0.8093,0.6886,"(+0.533,+0.790)",1.0,0.6886,"(+0.446,+0.825)",1.0,1.0,84
B4,C[hh]->I,JP,raw,,OK,0.0798,-0.1815,0.3268,0.0798,"(-0.125,+0.270)",1.0,0.0798,"(-0.206,+0.334)",1.0,1.0,84
B4,C[nfc]->I,CN,raw,,OK,-0.417,-0.6788,0.0096,-0.417,"(-0.647,-0.074)",1.0,-0.417,"(-0.692,+0.085)",1.0,1.0,62
B1,P[PRICE]->B,JP,firstdiff,,OK,-0.162,-0.2642,-0.057,-0.162,"(-0.245,-0.072)",1.0,-0.162,"(-0.269,-0.046)",1.0,1.0,84
B1,P[PRICE]->B,CN,firstdiff,,OK,0.085,-0.025,0.1783,0.085,"(-0.012,+0.173)",1.0,0.085,"(-0.030,+0.181)",1.0,1.0,57
B1,P[ACTIVITY]->B,JP,firstdiff,,OK,-0.0403,-0.0994,0.022,-0.0403,"(-0.102,+0.031)",1.0,-0.0403,"(-0.088,+0.009)",1.0,1.0,84
B1,P[ACTIVITY]->B,CN,firstdiff,,OK,0.0824,0.0424,0.1352,0.0824,"(+0.035,+0.137)",1.0,0.0824,"(+0.052,+0.122)",1.0,1.0,57
B1,P[INV_SALES]->B,CN,firstdiff,,OK,0.1306,0.0865,0.1759,0.1306,"(+0.090,+0.172)",1.0,0.1306,"(+0.089,+0.168)",1.0,1.0,57
B2,B->R,JP,firstdiff,,OK,-0.0021,-0.0452,0.0453,-0.0021,"(-0.048,+0.048)",1.0,-0.0021,"(-0.044,+0.042)",1.0,1.0,84
B2,B->R,CN,firstdiff,,OK,0.1054,0.0576,0.1537,0.1054,"(+0.048,+0.156)",1.0,0.1054,"(+0.056,+0.152)",1.0,1.0,57
B3a,R->C[nfc],JP,firstdiff,,OK,-0.0116,-0.0961,0.0724,-0.0116,"(-0.101,+0.080)",1.0,-0.0116,"(-0.078,+0.055)",1.0,1.0,84
B3a,R->C[hh],JP,firstdiff,,OK,-0.0335,-0.125,0.0577,-0.0335,"(-0.134,+0.067)",1.0,-0.0335,"(-0.100,+0.032)",1.0,1.0,84
B3a,R->C[nfc],CN,firstdiff,,OK,-0.0796,-0.1746,0.0102,-0.0796,"(-0.174,+0.010)",1.0,-0.0796,"(-0.148,-0.035)",1.0,1.0,55
B3a,R->C[hh],CN,firstdiff,,OK,-0.0461,-0.1381,0.0674,-0.0461,"(-0.128,+0.062)",1.0,-0.0461,"(-0.113,+0.040)",1.0,1.0,55
B3a,R->C[pboc],CN,firstdiff,,OK,-0.1069,-0.2084,-0.0086,-0.1069,"(-0.200,-0.004)",1.0,-0.1069,"(-0.160,-0.040)",1.0,1.0,57
B4,C[nfc]->I,JP,firstdiff,,OK,0.0265,-0.0222,0.0675,0.0265,"(-0.021,+0.071)",1.0,0.0265,"(-0.017,+0.063)",1.0,1.0,84
B4,C[hh]->I,JP,firstdiff,,OK,0.0393,-0.0284,0.0954,0.0393,"(-0.020,+0.092)",1.0,0.0393,"(-0.030,+0.097)",1.0,1.0,84
B4,C[nfc]->I,CN,firstdiff,,OK,0.0348,-0.0651,0.1397,0.0348,"(-0.062,+0.137)",1.0,0.0348,"(-0.070,+0.149)",1.0,1.0,61
