country,quarter,n_available,n_low_lt1,broad
JP,1995-Q1,4,4,True
JP,1995-Q2,4,4,True
JP,1995-Q3,4,4,True
JP,1995-Q4,4,4,True
JP,1996-Q1,4,4,True
JP,1996-Q2,4,4,True
JP,1996-Q3,4,4,True
JP,1996-Q4,4,4,True
JP,1997-Q1,4,4,True
JP,1997-Q2,4,2,False
JP,1997-Q3,4,2,False
JP,1997-Q4,4,2,False
JP,1998-Q1,4,2,False
JP,1998-Q2,4,4,True
JP,1998-Q3,4,4,True
JP,1998-Q4,4,4,True
JP,1999-Q1,4,4,True
JP,1999-Q2,4,4,True
JP,1999-Q3,4,4,True
JP,1999-Q4,4,4,True
JP,2000-Q1,4,4,True
JP,2000-Q2,4,4,True
JP,2000-Q3,4,4,True
JP,2000-Q4,4,4,True
JP,2001-Q1,4,4,True
JP,2001-Q2,4,4,True
JP,2001-Q3,4,4,True
JP,2001-Q4,4,4,True
JP,2002-Q1,4,4,True
JP,2002-Q2,4,4,True
JP,2002-Q3,4,4,True
JP,2002-Q4,4,4,True
JP,2003-Q1,4,4,True
JP,2003-Q2,4,4,True
JP,2003-Q3,4,4,True
JP,2003-Q4,4,4,True
JP,2004-Q1,4,4,True
JP,2004-Q2,4,4,True
JP,2004-Q3,4,4,True
JP,2004-Q4,4,3,True
JP,2005-Q1,4,4,True
JP,2005-Q2,4,4,True
JP,2005-Q3,4,4,True
JP,2005-Q4,4,3,True
