country,quarter,n_available,n_low_lt1,n_negative,negative_share,cpi_low,ppi_low,deflator_low,cpi_actual_sign,ppi_actual_sign,deflator_actual_sign,broad,divergence_flag
JP,1995-Q1,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1995-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1995-Q3,4,4,3,0.75,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1995-Q4,4,4,3,0.75,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1996-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1996-Q2,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1996-Q3,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1996-Q4,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1997-Q1,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1997-Q2,4,2,0,0.0,NOT_LOW,LOW,LOW,NONNEG,NONNEG,NONNEG,False,False
JP,1997-Q3,4,2,0,0.0,NOT_LOW,LOW,LOW,NONNEG,NONNEG,NONNEG,False,False
JP,1997-Q4,4,2,0,0.0,NOT_LOW,LOW,LOW,NONNEG,NONNEG,NONNEG,False,False
JP,1998-Q1,4,2,1,0.25,NOT_LOW,LOW,LOW,NONNEG,NEG,NONNEG,False,True
JP,1998-Q2,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1998-Q3,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1998-Q4,4,4,3,0.75,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1999-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1999-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,1999-Q3,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NEG,NEG,True,True
JP,1999-Q4,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2000-Q1,4,4,3,0.75,LOW,LOW,LOW,NEG,NONNEG,NEG,True,True
JP,2000-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2000-Q3,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2000-Q4,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2001-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2001-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2001-Q3,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2001-Q4,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2002-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2002-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2002-Q3,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2002-Q4,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2003-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2003-Q2,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2003-Q3,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2003-Q4,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2004-Q1,4,4,4,1.0,LOW,LOW,LOW,NEG,NEG,NEG,True,False
JP,2004-Q2,4,4,3,0.75,LOW,LOW,LOW,NEG,NONNEG,NEG,True,True
JP,2004-Q3,4,4,3,0.75,LOW,LOW,LOW,NEG,NONNEG,NEG,True,True
JP,2004-Q4,4,3,2,0.5,LOW,NOT_LOW,LOW,NONNEG,NONNEG,NEG,True,True
JP,2005-Q1,4,4,2,0.5,LOW,LOW,LOW,NONNEG,NONNEG,NEG,True,True
JP,2005-Q2,4,4,3,0.75,LOW,LOW,LOW,NEG,NONNEG,NEG,True,True
JP,2005-Q3,4,4,3,0.75,LOW,LOW,LOW,NEG,NONNEG,NEG,True,True
JP,2005-Q4,4,3,3,0.75,LOW,NOT_LOW,LOW,NEG,NONNEG,NEG,True,True
