year,value,source_note
1978,18.25,NBS 2013年鉴 3-2 出生率 1978-2012
1980,18.21,NBS 2013年鉴 3-2 出生率 1978-2012
1981,20.91,NBS 2013年鉴 3-2 出生率 1978-2012
1982,22.28,NBS 2013年鉴 3-2 出生率 1978-2012
1983,20.19,NBS 2013年鉴 3-2 出生率 1978-2012
1984,19.9,NBS 2013年鉴 3-2 出生率 1978-2012
1985,21.04,NBS 2013年鉴 3-2 出生率 1978-2012
1986,22.43,NBS 2013年鉴 3-2 出生率 1978-2012
1987,23.33,NBS 2013年鉴 3-2 出生率 1978-2012
1988,22.37,NBS 2013年鉴 3-2 出生率 1978-2012
1989,21.58,NBS 2013年鉴 3-2 出生率 1978-2012
1990,21.06,NBS 2013年鉴 3-2 出生率 1978-2012
1991,19.68,NBS 2013年鉴 3-2 出生率 1978-2012
1992,18.24,NBS 2013年鉴 3-2 出生率 1978-2012
1993,18.09,NBS 2013年鉴 3-2 出生率 1978-2012
1994,17.7,NBS 2013年鉴 3-2 出生率 1978-2012
1995,17.12,NBS 2013年鉴 3-2 出生率 1978-2012
1996,16.98,NBS 2013年鉴 3-2 出生率 1978-2012
1997,16.57,NBS 2013年鉴 3-2 出生率 1978-2012
1998,15.64,NBS 2013年鉴 3-2 出生率 1978-2012
1999,14.64,NBS 2013年鉴 3-2 出生率 1978-2012
2000,14.03,NBS 2013年鉴 3-2 出生率 1978-2012
2001,13.38,NBS 2013年鉴 3-2 出生率 1978-2012
2002,12.86,NBS 2013年鉴 3-2 出生率 1978-2012
2003,12.41,NBS 2013年鉴 3-2 出生率 1978-2012
2004,12.29,NBS 2013年鉴 3-2 出生率 1978-2012
2005,12.4,NBS 2013年鉴 3-2 出生率 1978-2012
2006,12.09,NBS 2013年鉴 3-2 出生率 1978-2012
2007,12.1,NBS 2013年鉴 3-2 出生率 1978-2012
2008,12.14,NBS 2013年鉴 3-2 出生率 1978-2012
2009,11.95,NBS 2013年鉴 3-2 出生率 1978-2012
2010,11.9,NBS 2013年鉴 3-2 出生率 1978-2012
2011,11.93,NBS 2013年鉴 3-2 出生率 1978-2012
2012,12.1,NBS 2013年鉴 3-2 出生率 1978-2012
2013,12.08,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2014,12.37,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2015,12.07,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2016,12.95,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2017,12.43,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2018,10.94,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2019,10.48,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2020,8.52,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2021,7.52,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2022,6.77,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2023,6.39,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2024,6.77,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
2025,5.63,"NBS 统计公报 CBR 2013-2025; 2020=8.52 census-revised (7th census, official)"
