year,value,source_note
1978,0.7,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1980,7.5,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1985,9.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1990,3.1,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1995,17.1,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1996,8.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1997,2.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1998,-0.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1999,-1.4,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2000,0.4,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2001,0.7,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2002,-0.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2003,1.2,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2004,3.9,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2005,1.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2006,1.5,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2007,4.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2008,5.9,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2009,-0.7,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2010,3.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2011,5.4,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2012,2.6,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2013,2.6,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2014,2.0,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2015,1.4,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2016,2.0,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2017,1.6,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2018,2.1,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2019,2.9,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2020,2.5,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2021,0.9,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2022,2.0,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2023,0.2,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2024,0.2,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2025,0.0,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
