year,value,source_note
1991,26.5245,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1992,31.2782,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1994,34.5292,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1995,29.4671,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1996,25.2581,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1997,17.32,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1998,14.8394,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
1999,14.7365,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2000,12.2709,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2001,14.42,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2002,16.78,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2003,19.5754,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2004,14.67,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2005,17.5708,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2006,16.95,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2007,16.7355,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2008,17.82,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2009,27.68,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2010,19.7331,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2011,13.61,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2012,13.84,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2013,13.6,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2014,12.2,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2015,13.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2016,11.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2017,8.2,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2018,8.1,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2019,8.7,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2020,10.1,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2021,9.0,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2022,11.8,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2023,9.7,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2024,7.3,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
2025,8.5,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 M2 year-end growth 2013-2025 (year-end not annual avg)
