year,value,source_note
2000,,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2001,16.47,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2002,13.83,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2003,12.09,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2004,14.79,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2005,14.95,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2006,13.97,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2007,18.53,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2008,16.9,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2009,11.58,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2010,13.32,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2011,14.4,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2012,11.89,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2013,10.1,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2014,9.5,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2015,10.1,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2016,8.9,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2017,10.0,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2018,11.0,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2019,9.8,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2020,7.6,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2021,9.7,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2022,6.7,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2023,5.8,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2024,2.8,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
2025,4.3,CN wage_yoy 2000-2012 (H2 城镇单位) + 2013-2025 (NBS 非私营官方名义增速 full chain)
