year,value,source_note
1970,,统计局 2025base CPI all 1970+ annual avg yoy
1971,6.4216,统计局 2025base CPI all 1970+ annual avg yoy
1972,4.8994,统计局 2025base CPI all 1970+ annual avg yoy
1973,11.5537,统计局 2025base CPI all 1970+ annual avg yoy
1974,23.1012,统计局 2025base CPI all 1970+ annual avg yoy
1975,11.9298,统计局 2025base CPI all 1970+ annual avg yoy
1976,9.3791,统计局 2025base CPI all 1970+ annual avg yoy
1977,8.1398,统计局 2025base CPI all 1970+ annual avg yoy
1978,4.2103,统计局 2025base CPI all 1970+ annual avg yoy
1979,3.7592,统计局 2025base CPI all 1970+ annual avg yoy
1980,7.7886,统计局 2025base CPI all 1970+ annual avg yoy
1981,4.9161,统计局 2025base CPI all 1970+ annual avg yoy
1982,2.7375,统计局 2025base CPI all 1970+ annual avg yoy
1983,1.8839,统计局 2025base CPI all 1970+ annual avg yoy
1984,2.265,统计局 2025base CPI all 1970+ annual avg yoy
1985,2.0582,统计局 2025base CPI all 1970+ annual avg yoy
1986,0.604,统计局 2025base CPI all 1970+ annual avg yoy
1987,0.1113,统计局 2025base CPI all 1970+ annual avg yoy
1988,0.6629,统计局 2025base CPI all 1970+ annual avg yoy
1989,2.2906,统计局 2025base CPI all 1970+ annual avg yoy
1990,3.0604,统计局 2025base CPI all 1970+ annual avg yoy
1991,3.2834,统计局 2025base CPI all 1970+ annual avg yoy
1992,1.7367,统计局 2025base CPI all 1970+ annual avg yoy
1993,1.2591,统计局 2025base CPI all 1970+ annual avg yoy
1994,0.6867,统计局 2025base CPI all 1970+ annual avg yoy
1995,-0.1058,统计局 2025base CPI all 1970+ annual avg yoy
1996,0.1364,统计局 2025base CPI all 1970+ annual avg yoy
1997,1.6982,统计局 2025base CPI all 1970+ annual avg yoy
1998,0.6762,统计局 2025base CPI all 1970+ annual avg yoy
1999,-0.34,统计局 2025base CPI all 1970+ annual avg yoy
2000,-0.6756,统计局 2025base CPI all 1970+ annual avg yoy
2001,-0.7192,统计局 2025base CPI all 1970+ annual avg yoy
2002,-0.9066,统计局 2025base CPI all 1970+ annual avg yoy
2003,-0.2631,统计局 2025base CPI all 1970+ annual avg yoy
2004,-0.0191,统计局 2025base CPI all 1970+ annual avg yoy
2005,-0.2432,统计局 2025base CPI all 1970+ annual avg yoy
2006,0.2155,统计局 2025base CPI all 1970+ annual avg yoy
2007,0.049,统计局 2025base CPI all 1970+ annual avg yoy
2008,1.3872,统计局 2025base CPI all 1970+ annual avg yoy
2009,-1.3427,统计局 2025base CPI all 1970+ annual avg yoy
2010,-0.7027,统计局 2025base CPI all 1970+ annual avg yoy
2011,-0.2847,统计局 2025base CPI all 1970+ annual avg yoy
2012,-0.0492,统计局 2025base CPI all 1970+ annual avg yoy
2013,0.3386,统计局 2025base CPI all 1970+ annual avg yoy
2014,2.7725,统计局 2025base CPI all 1970+ annual avg yoy
2015,0.7952,统计局 2025base CPI all 1970+ annual avg yoy
2016,-0.1133,统计局 2025base CPI all 1970+ annual avg yoy
2017,0.4753,统计局 2025base CPI all 1970+ annual avg yoy
2018,0.9662,统计局 2025base CPI all 1970+ annual avg yoy
2019,0.4973,统计局 2025base CPI all 1970+ annual avg yoy
2020,-0.0171,统计局 2025base CPI all 1970+ annual avg yoy
2021,-0.241,统计局 2025base CPI all 1970+ annual avg yoy
2022,2.5052,统计局 2025base CPI all 1970+ annual avg yoy
2023,3.2601,统计局 2025base CPI all 1970+ annual avg yoy
2024,2.7466,统计局 2025base CPI all 1970+ annual avg yoy
2025,3.1953,统计局 2025base CPI all 1970+ annual avg yoy
