year,value,source_note
1970,35.5078,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1971,34.2462,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1972,34.1186,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1973,36.3904,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1974,34.7836,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1975,32.4524,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1976,31.1845,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1977,30.1591,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1978,30.4039,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1979,31.6732,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1980,31.5689,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1981,30.589,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1982,29.4658,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1983,27.995,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1984,27.7003,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1985,27.4764,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1986,27.2759,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1987,28.3486,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1988,29.6429,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1989,30.5685,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1990,31.7335,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1991,31.42,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1992,30.4711,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1993,29.5411,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1994,28.6465,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1995,28.4779,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1996,29.4667,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1997,28.5706,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1998,26.7991,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
1999,26.0734,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2000,25.6098,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2001,26.5731,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2002,25.6309,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2003,25.5923,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2004,25.4546,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2005,26.0747,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2006,26.0213,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2007,25.2659,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2008,24.7832,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2009,23.8404,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2010,23.0214,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2011,23.9659,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2012,24.4207,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2013,24.9775,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2014,24.863,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2015,24.4666,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2016,24.4459,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2017,24.4458,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2018,24.408,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
2019,24.4209,"JP investment_gdp: 1970-2000 (68SNA H2) + 2001-2023 (2008SNA FIX, v0.3d unit corrected)"
