year,value,source_note
1970,18.3123,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1971,20.3453,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1972,26.4973,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1973,22.9774,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1974,11.9631,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1975,13.0685,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1976,15.1205,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1977,11.4015,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1978,11.7338,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1979,11.8715,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1980,9.2235,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1981,8.9017,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1982,9.2228,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1983,7.3597,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1984,7.8059,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1985,8.3718,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1986,8.6588,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1987,10.3597,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1988,11.2081,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1989,9.9046,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1990,11.6813,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1991,3.6724,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1992,0.6005,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1993,1.0713,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1994,2.0521,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1995,3.0286,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1996,3.2588,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1997,3.0603,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1998,4.367,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
1999,3.6838,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2000,2.1079,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2001,2.7793,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2002,3.3066,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2003,1.3338,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2004,1.7506,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
2005,1.811,"JP m2_yoy 1970-2017 (MYAGM2) + 2018-2023 (MABMM301, series switch disclosed) + 2024-25 (BOJ)"
