year,value,source_note
1970,10.2824,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1971,4.3891,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1972,8.4135,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1973,8.0327,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1974,-1.2252,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1975,3.0915,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1976,3.975,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1977,4.3903,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1978,5.272,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1979,5.4839,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1980,2.8176,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1981,3.1704,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1982,3.0573,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1983,2.3221,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1984,3.9174,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1985,4.4041,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
1986,2.8954,ESRI 68SNA 実質GDE annual YoY 1956-2000 (complete years only) | +2001-2025 ext (regime: 2008SNA)
