year,value,source_note
1970,2.13,e-Stat 人口動態 0003411595 1947+
1971,2.16,e-Stat 人口動態 0003411595 1947+
1972,2.14,e-Stat 人口動態 0003411595 1947+
1973,2.14,e-Stat 人口動態 0003411595 1947+
1974,2.05,e-Stat 人口動態 0003411595 1947+
1975,1.91,e-Stat 人口動態 0003411595 1947+
1976,1.85,e-Stat 人口動態 0003411595 1947+
1977,1.8,e-Stat 人口動態 0003411595 1947+
1978,1.79,e-Stat 人口動態 0003411595 1947+
1979,1.77,e-Stat 人口動態 0003411595 1947+
1980,1.75,e-Stat 人口動態 0003411595 1947+
1981,1.74,e-Stat 人口動態 0003411595 1947+
1982,1.77,e-Stat 人口動態 0003411595 1947+
1983,1.8,e-Stat 人口動態 0003411595 1947+
1984,1.81,e-Stat 人口動態 0003411595 1947+
1985,1.76,e-Stat 人口動態 0003411595 1947+
1986,1.72,e-Stat 人口動態 0003411595 1947+
1987,1.69,e-Stat 人口動態 0003411595 1947+
1988,1.66,e-Stat 人口動態 0003411595 1947+
1989,1.57,e-Stat 人口動態 0003411595 1947+
1990,1.54,e-Stat 人口動態 0003411595 1947+
1991,1.53,e-Stat 人口動態 0003411595 1947+
1992,1.5,e-Stat 人口動態 0003411595 1947+
1993,1.46,e-Stat 人口動態 0003411595 1947+
1994,1.5,e-Stat 人口動態 0003411595 1947+
1995,1.42,e-Stat 人口動態 0003411595 1947+
1996,1.43,e-Stat 人口動態 0003411595 1947+
1997,1.39,e-Stat 人口動態 0003411595 1947+
1998,1.38,e-Stat 人口動態 0003411595 1947+
1999,1.34,e-Stat 人口動態 0003411595 1947+
2000,1.36,e-Stat 人口動態 0003411595 1947+
2001,1.33,e-Stat 人口動態 0003411595 1947+
2002,1.32,e-Stat 人口動態 0003411595 1947+
2003,1.29,e-Stat 人口動態 0003411595 1947+
2004,1.29,e-Stat 人口動態 0003411595 1947+
2005,1.26,e-Stat 人口動態 0003411595 1947+
2006,1.32,e-Stat 人口動態 0003411595 1947+
2007,1.34,e-Stat 人口動態 0003411595 1947+
2008,1.37,e-Stat 人口動態 0003411595 1947+
2009,1.37,e-Stat 人口動態 0003411595 1947+
2010,1.39,e-Stat 人口動態 0003411595 1947+
2011,1.39,e-Stat 人口動態 0003411595 1947+
2012,1.41,e-Stat 人口動態 0003411595 1947+
2013,1.43,e-Stat 人口動態 0003411595 1947+
2014,1.42,e-Stat 人口動態 0003411595 1947+
2015,1.45,e-Stat 人口動態 0003411595 1947+
2016,1.44,e-Stat 人口動態 0003411595 1947+
2017,1.43,e-Stat 人口動態 0003411595 1947+
2018,1.42,e-Stat 人口動態 0003411595 1947+
2019,1.36,e-Stat 人口動態 0003411595 1947+
2020,1.33,e-Stat 人口動態 0003411595 1947+
2021,1.3,e-Stat 人口動態 0003411595 1947+
2022,1.26,e-Stat 人口動態 0003411595 1947+
2023,1.2,e-Stat 人口動態 0003411595 1947+
2024,1.15,e-Stat 人口動態 0003411595 1947+
