quarter,value,source_note
2011-Q1,0.061076,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q2,0.062824,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q3,0.05789,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2011-Q4,0.0754,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q1,0.052821,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q2,0.055516,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q3,0.05243,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2012-Q4,0.078618,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q1,0.052797,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q2,0.055064,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q3,0.056526,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2013-Q4,0.076582,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q1,0.054027,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q2,0.057129,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q3,0.05426,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2014-Q4,0.069364,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q1,0.051816,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q2,0.057577,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q3,0.052317,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2015-Q4,0.067018,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q1,0.054413,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q2,0.058834,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q3,0.056462,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2016-Q4,0.067324,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q1,0.061325,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q2,0.060833,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q3,0.06304,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2017-Q4,0.074366,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q1,0.061757,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q2,0.068164,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q3,0.063131,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2018-Q4,0.06635,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q1,0.053122,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q2,0.063704,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q3,0.060104,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2019-Q4,0.057144,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q1,0.039353,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q2,0.065403,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q3,0.06644,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2020-Q4,0.065335,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
2021-Q1,0.066419,"NBS 规上工业 单季利润率=单季利润/单季营收 (YTD累计→单季;2011-2018主营业务收入/2019+营业收入) NBS 规上工业 STRUCTURAL_PRE_START=2011Q1 (2011 门槛500万→2000万,2010 不同总体)"
