quarter,value,source_note
2000-Q1,933.79,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q2,1150.21,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q3,1324.7,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q4,2277.25,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q1,1301.51,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q2,1590.66,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q3,1606.65,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q4,2878.76,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q1,1633.61,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q2,2220.68,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q3,2185.68,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q4,3501.66,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q1,2346.53,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q2,3376.29,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q3,3114.77,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q4,4290.63,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q1,3595.39,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q2,4007.41,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q3,4011.3,NBS 房地产开发月度(累计值)→单季还原 房地产开发企业本年到位资金 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
