quarter,value,source_note
2006-Q1,2.85,NBS PPI 当月同比 季均(akshare)
2006-Q2,2.6067,NBS PPI 当月同比 季均(akshare)
2006-Q3,3.4767,NBS PPI 当月同比 季均(akshare)
2006-Q4,2.91,NBS PPI 当月同比 季均(akshare)
2007-Q1,2.85,NBS PPI 当月同比 季均(akshare)
2007-Q2,2.7067,NBS PPI 当月同比 季均(akshare)
2007-Q3,2.5533,NBS PPI 当月同比 季均(akshare)
2007-Q4,4.3967,NBS PPI 当月同比 季均(akshare)
2008-Q1,6.88,NBS PPI 当月同比 季均(akshare)
2008-Q2,8.3933,NBS PPI 当月同比 季均(akshare)
2008-Q3,9.74,NBS PPI 当月同比 季均(akshare)
2008-Q4,2.48,NBS PPI 当月同比 季均(akshare)
2009-Q1,-4.6033,NBS PPI 当月同比 季均(akshare)
2009-Q2,-7.2,NBS PPI 当月同比 季均(akshare)
2009-Q3,-7.69,NBS PPI 当月同比 季均(akshare)
2009-Q4,-2.0767,NBS PPI 当月同比 季均(akshare)
2010-Q1,5.2067,NBS PPI 当月同比 季均(akshare)
2010-Q2,6.7833,NBS PPI 当月同比 季均(akshare)
2010-Q3,4.4967,NBS PPI 当月同比 季均(akshare)
2010-Q4,5.6767,NBS PPI 当月同比 季均(akshare)
2011-Q1,7.0613,NBS PPI 当月同比 季均(akshare)
2011-Q2,6.909,NBS PPI 当月同比 季均(akshare)
2011-Q3,7.1057,NBS PPI 当月同比 季均(akshare)
2011-Q4,3.1357,NBS PPI 当月同比 季均(akshare)
2012-Q1,0.1487,NBS PPI 当月同比 季均(akshare)
2012-Q2,-1.3936,NBS PPI 当月同比 季均(akshare)
2012-Q3,-3.2993,NBS PPI 当月同比 季均(akshare)
2012-Q4,-2.2983,NBS PPI 当月同比 季均(akshare)
2013-Q1,-1.7272,NBS PPI 当月同比 季均(akshare)
2013-Q2,-2.7266,NBS PPI 当月同比 季均(akshare)
2013-Q3,-1.7467,NBS PPI 当月同比 季均(akshare)
2013-Q4,-1.429,NBS PPI 当月同比 季均(akshare)
2014-Q1,-1.9866,NBS PPI 当月同比 季均(akshare)
2014-Q2,-1.5197,NBS PPI 当月同比 季均(akshare)
2014-Q3,-1.2907,NBS PPI 当月同比 季均(akshare)
2014-Q4,-2.7503,NBS PPI 当月同比 季均(akshare)
2015-Q1,-4.5594,NBS PPI 当月同比 季均(akshare)
2015-Q2,-4.6643,NBS PPI 当月同比 季均(akshare)
2015-Q3,-5.7456,NBS PPI 当月同比 季均(akshare)
2015-Q4,-5.9,NBS PPI 当月同比 季均(akshare)
2016-Q1,-4.8333,NBS PPI 当月同比 季均(akshare)
2016-Q2,-2.9333,NBS PPI 当月同比 季均(akshare)
2016-Q3,-0.8,NBS PPI 当月同比 季均(akshare)
2016-Q4,3.3333,NBS PPI 当月同比 季均(akshare)
2017-Q1,7.4333,NBS PPI 当月同比 季均(akshare)
2017-Q2,5.8,NBS PPI 当月同比 季均(akshare)
2017-Q3,6.2333,NBS PPI 当月同比 季均(akshare)
2017-Q4,5.8667,NBS PPI 当月同比 季均(akshare)
2018-Q1,3.7,NBS PPI 当月同比 季均(akshare)
2018-Q2,4.0667,NBS PPI 当月同比 季均(akshare)
2018-Q3,4.1,NBS PPI 当月同比 季均(akshare)
2018-Q4,2.3,NBS PPI 当月同比 季均(akshare)
2019-Q1,0.2,NBS PPI 当月同比 季均(akshare)
2019-Q2,0.5,NBS PPI 当月同比 季均(akshare)
2019-Q3,-0.7667,NBS PPI 当月同比 季均(akshare)
2019-Q4,-1.1667,NBS PPI 当月同比 季均(akshare)
2020-Q1,-0.6,NBS PPI 当月同比 季均(akshare)
2020-Q2,-3.2667,NBS PPI 当月同比 季均(akshare)
2020-Q3,-2.1667,NBS PPI 当月同比 季均(akshare)
2020-Q4,-1.3333,NBS PPI 当月同比 季均(akshare)
2021-Q1,2.1333,NBS PPI 当月同比 季均(akshare)
2021-Q2,8.2,NBS PPI 当月同比 季均(akshare)
2021-Q3,9.7333,NBS PPI 当月同比 季均(akshare)
2021-Q4,12.2333,NBS PPI 当月同比 季均(akshare)
2022-Q1,8.7333,NBS PPI 当月同比 季均(akshare)
2022-Q2,6.8333,NBS PPI 当月同比 季均(akshare)
2022-Q3,2.4667,NBS PPI 当月同比 季均(akshare)
2022-Q4,-1.1,NBS PPI 当月同比 季均(akshare)
2023-Q1,-1.5667,NBS PPI 当月同比 季均(akshare)
2023-Q2,-4.5333,NBS PPI 当月同比 季均(akshare)
2023-Q3,-3.3,NBS PPI 当月同比 季均(akshare)
2023-Q4,-2.7667,NBS PPI 当月同比 季均(akshare)
2024-Q1,-2.6667,NBS PPI 当月同比 季均(akshare)
2024-Q2,-1.5667,NBS PPI 当月同比 季均(akshare)
2024-Q3,-1.8,NBS PPI 当月同比 季均(akshare)
2024-Q4,-2.5667,NBS PPI 当月同比 季均(akshare)
2025-Q1,-2.3333,NBS PPI 当月同比 季均(akshare)
2025-Q2,-3.2,NBS PPI 当月同比 季均(akshare)
2025-Q3,-2.9333,NBS PPI 当月同比 季均(akshare)
2025-Q4,-2.0667,NBS PPI 当月同比 季均(akshare)
2026-Q1,-0.6,NBS PPI 当月同比 季均(akshare)
2026-Q2,3.6,NBS PPI 当月同比 季均(akshare)
