quarter,value,source_note
2005-Q2,75.8675,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2005-Q3,77.0645,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2005-Q4,77.9195,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2006-Q1,78.005,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2006-Q2,79.544,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2006-Q3,80.855,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2006-Q4,81.824,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2007-Q1,82.1375,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2007-Q2,84.218,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2007-Q3,86.498,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2007-Q4,89.1486,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2008-Q1,89.8611,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2008-Q2,90.8301,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2008-Q3,91.2576,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2008-Q4,90.7446,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2009-Q1,89.6901,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2009-Q2,90.4026,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2009-Q3,92.3406,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2009-Q4,94.7631,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2010-Q1,97.7556,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2010-Q2,100.0071,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2010-Q3,100.3776,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2010-Q4,101.8596,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2011-Q1,103.5126,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2011-Q2,104.2822,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2011-Q3,104.4817,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2011-Q4,104.1967,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2012-Q1,103.6551,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2012-Q2,103.1136,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2012-Q3,103.2561,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2012-Q4,103.6551,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2013-Q1,105.5932,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2013-Q2,108.5572,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2013-Q3,111.0082,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2013-Q4,113.0602,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2014-Q1,114.2857,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2014-Q2,114.3427,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2014-Q3,111.7207,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2014-Q4,109.1557,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2015-Q1,107.8162,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2015-Q2,107.5882,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2015-Q3,108.2437,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2015-Q4,108.8422,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2016-Q1,111.5332,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2016-Q2,113.8325,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2016-Q3,116.4238,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2016-Q4,119.1975,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2017-Q1,120.6209,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2017-Q2,122.9931,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2017-Q3,124.38,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2017-Q4,125.1464,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2018-Q1,125.8764,H6-B frozen h6b_q_residential_property_price.csv; country=cn
2018-Q2,127.7012,H6-B frozen h6b_q_residential_property_price.csv; country=cn
