quarter,value,source_note
2000-Q1,295.97,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q2,548.96,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q3,615.81,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2000-Q4,2111.26,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q1,440.65,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q2,740.51,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q3,817.11,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2001-Q4,2627.45,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q1,514.03,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q2,931.14,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q3,1190.23,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2002-Q4,3085.82,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q1,784.69,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q2,1317.08,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q3,1634.66,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2003-Q4,3934.47,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q1,1143.34,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q2,1830.2,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q3,2080.34,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2004-Q4,5321.83,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2005-Q1,1559.33,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2005-Q2,2167.95,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2005-Q3,7586.02,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2005-Q4,6767.0,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2006-Q1,3192.7,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2006-Q2,4764.78,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2006-Q3,4457.86,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2006-Q4,8094.34,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2007-Q1,4050.75,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
2007-Q2,6592.08,NBS 房地产开发月度(累计值)→单季还原 新建商品房销售额 全国 2000-Q1-2026-Q2 源:data.stats.gov.cn 新接口 /stream/esData
