quarter,value,source_note
1954-Q2,0.684563,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1954-Q3,0.661397,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1954-Q4,0.667149,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1955-Q1,0.657347,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1955-Q2,0.658789,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1955-Q3,0.659211,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1955-Q4,0.664911,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1956-Q1,0.667284,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1956-Q2,0.688625,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1956-Q3,0.693355,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1956-Q4,0.698372,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1957-Q1,0.697524,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1957-Q2,0.715578,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1957-Q3,0.70901,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1957-Q4,0.715293,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1958-Q1,0.708319,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1958-Q2,0.718959,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1958-Q3,0.717435,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1958-Q4,0.723914,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1959-Q1,0.720401,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1959-Q2,0.732854,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1959-Q3,0.732636,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1959-Q4,0.740016,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1960-Q1,0.733806,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1960-Q2,0.741329,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1960-Q3,0.739199,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1960-Q4,0.745834,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1961-Q1,0.748479,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1961-Q2,0.755503,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1961-Q3,0.755654,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1961-Q4,0.758604,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1962-Q1,0.755422,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1962-Q2,0.764723,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1962-Q3,0.75714,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1962-Q4,0.76567,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1963-Q1,0.762551,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1963-Q2,0.771398,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1963-Q3,0.767955,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1963-Q4,0.773245,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1964-Q1,0.773127,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1964-Q2,0.784079,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1964-Q3,0.780395,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1964-Q4,0.785969,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1965-Q1,0.782595,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1965-Q2,0.794885,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1965-Q3,0.791957,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1965-Q4,0.797975,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
1966-Q1,0.792935,MOF 法人企業統計 liab/assets Q 全行业除金融保险 All sizes 自然季 1954Q2-2026Q1(cutoff 2026-08-31;2026Q2 9/1 发布排除)
