quarter,value,source_note
1954-Q2,0.026949,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1954-Q3,0.019018,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1954-Q4,0.021626,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1955-Q1,0.023482,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1955-Q2,0.030338,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1955-Q3,0.026379,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1955-Q4,0.032665,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1956-Q1,0.029153,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1956-Q2,0.039752,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1956-Q3,0.030203,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1956-Q4,0.037929,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1957-Q1,0.031093,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1957-Q2,0.041359,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1957-Q3,0.025476,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1957-Q4,0.027703,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1958-Q1,0.02319,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1958-Q2,0.025072,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1958-Q3,0.021423,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1958-Q4,0.026917,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1959-Q1,0.030652,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1959-Q2,0.037963,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1959-Q3,0.03091,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1959-Q4,0.039121,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1960-Q1,0.036759,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1960-Q2,0.041669,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1960-Q3,0.034918,MOF income ordinary profits/sales Q 1954Q2-2026Q1
1960-Q4,0.040353,MOF income ordinary profits/sales Q 1954Q2-2026Q1
