quarter,value,source_note
1995-Q1,-0.3532,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q2,-0.885,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q3,-0.4209,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1995-Q4,-0.4694,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q1,-0.4491,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q2,-0.2193,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q3,-0.4293,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1996-Q4,-0.6673,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q1,-0.3096,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q2,0.7573,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q3,0.6461,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1997-Q4,0.978,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q1,0.9657,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q2,-0.2759,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q3,-0.4277,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1998-Q4,-0.3621,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q1,-0.8306,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q2,-1.054,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q3,-1.3141,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
1999-Q4,-1.6858,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q1,-1.4782,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q2,-1.5371,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q3,-1.0991,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2000-Q4,-1.2683,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q1,-0.8143,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q2,-1.1903,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q3,-1.2532,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2001-Q4,-1.1505,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q1,-1.1736,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q2,-1.4232,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q3,-1.4721,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2002-Q4,-1.4664,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q1,-2.2209,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q2,-1.2596,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q3,-1.2868,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2003-Q4,-1.7373,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q1,-1.2626,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q2,-1.5166,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q3,-1.2708,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2004-Q4,-0.4999,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q1,-0.8488,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q2,-0.9994,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q3,-1.3235,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2005-Q4,-1.5463,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q1,-1.2468,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q2,-0.9977,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q3,-0.7067,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2006-Q4,-0.5012,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q1,-0.573,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q2,-0.3373,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q3,-0.6991,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2007-Q4,-1.1662,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q1,-1.0643,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q2,-1.2264,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q3,-1.4574,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2008-Q4,0.1955,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q1,0.4679,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q2,-0.1929,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q3,-0.3126,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2009-Q4,-2.1907,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q1,-2.2907,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q2,-1.9944,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q3,-1.7907,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2010-Q4,-1.4377,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q1,-1.6839,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q2,-1.8937,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q3,-1.581,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2011-Q4,-1.314,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q1,-1.0467,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q2,-0.7943,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q3,-0.6467,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2012-Q4,-0.6048,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q1,-0.8952,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q2,-0.3711,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q3,-0.1325,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2013-Q4,-0.0649,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q1,0.1425,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q2,2.2155,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q3,2.1029,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2014-Q4,2.3474,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q1,3.2496,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q2,1.6195,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q3,1.8779,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2015-Q4,1.6286,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q1,1.1468,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q2,0.4641,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q3,0.0699,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2016-Q4,0.0133,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q1,-0.5624,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q2,-0.1841,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q3,0.3227,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2017-Q4,0.1114,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q1,0.522,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q2,0.1462,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q3,-0.3112,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2018-Q4,-0.3385,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q1,0.1569,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q2,0.4443,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q3,0.4801,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2019-Q4,1.4517,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q1,1.0113,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q2,1.4359,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q3,1.2023,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2020-Q4,0.1929,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q1,0.0273,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q2,-0.3689,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q3,-0.1666,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2021-Q4,-0.2438,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q1,0.2098,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q2,-0.1171,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q3,-0.2516,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
2022-Q4,1.5314,FRED JPNGDPDEFQISMEI 季均水平->YoY; cutoff 内
