quarter,value,source_note
1954-Q2,0.959945,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1954-Q3,1.381093,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1954-Q4,1.271378,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q1,1.179913,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q2,0.934827,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q3,0.979267,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1955-Q4,0.789494,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q1,0.824506,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q2,0.566487,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q3,0.687751,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1956-Q4,0.548806,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q1,0.682767,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q2,0.533502,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q3,0.967749,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1957-Q4,0.982555,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q1,1.259961,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q2,1.222416,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q3,1.386071,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1958-Q4,1.103171,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q1,0.953703,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q2,0.759701,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q3,0.883753,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1959-Q4,0.695428,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q1,0.734059,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q2,0.676464,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q3,0.774043,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1960-Q4,0.676892,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q1,0.742148,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q2,0.683831,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q3,0.792346,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1961-Q4,0.817077,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q1,0.90316,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q2,0.897576,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q3,1.069273,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1962-Q4,1.128667,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q1,0.965905,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q2,0.919225,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q3,0.991794,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1963-Q4,0.96225,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q1,1.0456,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q2,0.998959,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q3,1.159045,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1964-Q4,1.222732,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
1965-Q1,1.185652,MOF income interest expense/ordinary profits Q SECONDARY 1954Q2-2026Q1
