quarter,value,source_note
1954-Q2,0.010949,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1954-Q3,0.011762,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1954-Q4,0.011992,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q1,0.012646,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q2,0.012875,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q3,0.012997,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1955-Q4,0.013161,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q1,0.013763,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q2,0.013824,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q3,0.014359,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1956-Q4,0.01476,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q1,0.014561,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q2,0.015446,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q3,0.016034,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1957-Q4,0.01599,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q1,0.017398,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q2,0.016774,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q3,0.016801,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1958-Q4,0.017282,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1959-Q1,0.017629,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1959-Q2,0.018354,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1959-Q3,0.018219,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1959-Q4,0.018301,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1960-Q1,0.018809,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1960-Q2,0.020803,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1960-Q3,0.021561,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1960-Q4,0.021468,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1961-Q1,0.021762,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1961-Q2,0.023424,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1961-Q3,0.02415,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1961-Q4,0.024155,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
1962-Q1,0.02552,MOF assets land/total assets Q JP-only 1954Q2-2026Q1
