month,value,source_note
1981-01,1.5886,raw DEXCHUS_CN_USD.csv
1981-02,1.6179,raw DEXCHUS_CN_USD.csv
1981-03,1.6165,raw DEXCHUS_CN_USD.csv
1981-04,1.6882,raw DEXCHUS_CN_USD.csv
1981-05,1.748,raw DEXCHUS_CN_USD.csv
1981-06,1.7511,raw DEXCHUS_CN_USD.csv
1981-07,1.7845,raw DEXCHUS_CN_USD.csv
1981-08,1.7727,raw DEXCHUS_CN_USD.csv
1981-09,1.7719,raw DEXCHUS_CN_USD.csv
1981-10,1.7678,raw DEXCHUS_CN_USD.csv
1981-11,1.7171,raw DEXCHUS_CN_USD.csv
1981-12,1.7499,raw DEXCHUS_CN_USD.csv
1982-01,1.7975,raw DEXCHUS_CN_USD.csv
1982-02,1.8355,raw DEXCHUS_CN_USD.csv
1982-03,1.8722,raw DEXCHUS_CN_USD.csv
1982-04,1.8333,raw DEXCHUS_CN_USD.csv
1982-05,1.8331,raw DEXCHUS_CN_USD.csv
1982-06,1.9358,raw DEXCHUS_CN_USD.csv
1982-07,1.9312,raw DEXCHUS_CN_USD.csv
1982-08,1.9501,raw DEXCHUS_CN_USD.csv
1982-09,1.9733,raw DEXCHUS_CN_USD.csv
1982-10,2.0046,raw DEXCHUS_CN_USD.csv
1982-11,1.9906,raw DEXCHUS_CN_USD.csv
1982-12,1.9275,raw DEXCHUS_CN_USD.csv
1983-01,1.9464,raw DEXCHUS_CN_USD.csv
1983-02,1.9736,raw DEXCHUS_CN_USD.csv
1983-03,1.9991,raw DEXCHUS_CN_USD.csv
1983-04,1.9909,raw DEXCHUS_CN_USD.csv
1983-05,1.9989,raw DEXCHUS_CN_USD.csv
1983-06,1.9888,raw DEXCHUS_CN_USD.csv
1983-07,1.9985,raw DEXCHUS_CN_USD.csv
1983-08,1.9902,raw DEXCHUS_CN_USD.csv
1983-09,1.9802,raw DEXCHUS_CN_USD.csv
1983-10,1.984,raw DEXCHUS_CN_USD.csv
1983-11,1.994,raw DEXCHUS_CN_USD.csv
1983-12,1.9859,raw DEXCHUS_CN_USD.csv
1984-01,2.079,raw DEXCHUS_CN_USD.csv
1984-02,2.0519,raw DEXCHUS_CN_USD.csv
1984-03,2.0639,raw DEXCHUS_CN_USD.csv
1984-04,2.1329,raw DEXCHUS_CN_USD.csv
1984-05,2.2173,raw DEXCHUS_CN_USD.csv
1984-06,2.2529,raw DEXCHUS_CN_USD.csv
1984-07,2.3374,raw DEXCHUS_CN_USD.csv
1984-08,2.4196,raw DEXCHUS_CN_USD.csv
1984-09,2.5746,raw DEXCHUS_CN_USD.csv
1984-10,2.6466,raw DEXCHUS_CN_USD.csv
1984-11,2.7953,raw DEXCHUS_CN_USD.csv
1984-12,2.8027,raw DEXCHUS_CN_USD.csv
1985-01,2.8167,raw DEXCHUS_CN_USD.csv
1985-02,2.8417,raw DEXCHUS_CN_USD.csv
1985-03,2.8269,raw DEXCHUS_CN_USD.csv
1985-04,2.8593,raw DEXCHUS_CN_USD.csv
1985-05,2.8508,raw DEXCHUS_CN_USD.csv
1985-06,2.8851,raw DEXCHUS_CN_USD.csv
1985-07,2.885,raw DEXCHUS_CN_USD.csv
1985-08,2.9168,raw DEXCHUS_CN_USD.csv
1985-09,2.9755,raw DEXCHUS_CN_USD.csv
1985-10,3.2095,raw DEXCHUS_CN_USD.csv
1985-11,3.2095,raw DEXCHUS_CN_USD.csv
1985-12,3.2095,raw DEXCHUS_CN_USD.csv
1986-01,3.2095,raw DEXCHUS_CN_USD.csv
1986-02,3.2159,raw DEXCHUS_CN_USD.csv
1986-03,3.2288,raw DEXCHUS_CN_USD.csv
1986-04,3.1999,raw DEXCHUS_CN_USD.csv
1986-05,3.2191,raw DEXCHUS_CN_USD.csv
1986-06,3.2063,raw DEXCHUS_CN_USD.csv
1986-07,3.7129,raw DEXCHUS_CN_USD.csv
1986-08,3.7129,raw DEXCHUS_CN_USD.csv
1986-09,3.724,raw DEXCHUS_CN_USD.csv
1986-10,3.7314,raw DEXCHUS_CN_USD.csv
1986-11,3.7314,raw DEXCHUS_CN_USD.csv
1986-12,3.7314,raw DEXCHUS_CN_USD.csv
1987-01,3.7314,raw DEXCHUS_CN_USD.csv
1987-02,3.7314,raw DEXCHUS_CN_USD.csv
1987-03,3.7314,raw DEXCHUS_CN_USD.csv
1987-04,3.7314,raw DEXCHUS_CN_USD.csv
1987-05,3.7314,raw DEXCHUS_CN_USD.csv
1987-06,3.7314,raw DEXCHUS_CN_USD.csv
1987-07,3.7314,raw DEXCHUS_CN_USD.csv
1987-08,3.7314,raw DEXCHUS_CN_USD.csv
1987-09,3.7314,raw DEXCHUS_CN_USD.csv
1987-10,3.7314,raw DEXCHUS_CN_USD.csv
1987-11,3.7314,raw DEXCHUS_CN_USD.csv
1987-12,3.7314,raw DEXCHUS_CN_USD.csv
1988-01,3.7314,raw DEXCHUS_CN_USD.csv
1988-02,3.7314,raw DEXCHUS_CN_USD.csv
1988-03,3.7314,raw DEXCHUS_CN_USD.csv
1988-04,3.7314,raw DEXCHUS_CN_USD.csv
1988-05,3.7314,raw DEXCHUS_CN_USD.csv
1988-06,3.7314,raw DEXCHUS_CN_USD.csv
1988-07,3.7314,raw DEXCHUS_CN_USD.csv
1988-08,3.7314,raw DEXCHUS_CN_USD.csv
1988-09,3.7314,raw DEXCHUS_CN_USD.csv
1988-10,3.7314,raw DEXCHUS_CN_USD.csv
1988-11,3.7314,raw DEXCHUS_CN_USD.csv
1988-12,3.7314,raw DEXCHUS_CN_USD.csv
1989-01,3.7314,raw DEXCHUS_CN_USD.csv
1989-02,3.7314,raw DEXCHUS_CN_USD.csv
1989-03,3.7314,raw DEXCHUS_CN_USD.csv
1989-04,3.7314,raw DEXCHUS_CN_USD.csv
1989-05,3.7314,raw DEXCHUS_CN_USD.csv
1989-06,3.7314,raw DEXCHUS_CN_USD.csv
1989-07,3.7314,raw DEXCHUS_CN_USD.csv
1989-08,3.7314,raw DEXCHUS_CN_USD.csv
1989-09,3.7314,raw DEXCHUS_CN_USD.csv
1989-10,3.7314,raw DEXCHUS_CN_USD.csv
1989-11,3.7314,raw DEXCHUS_CN_USD.csv
1989-12,4.7339,raw DEXCHUS_CN_USD.csv
1990-01,4.7339,raw DEXCHUS_CN_USD.csv
1990-02,4.7339,raw DEXCHUS_CN_USD.csv
1990-03,4.7339,raw DEXCHUS_CN_USD.csv
1990-04,4.7339,raw DEXCHUS_CN_USD.csv
1990-05,4.7339,raw DEXCHUS_CN_USD.csv
1990-06,4.7339,raw DEXCHUS_CN_USD.csv
1990-07,4.7339,raw DEXCHUS_CN_USD.csv
1990-08,4.7339,raw DEXCHUS_CN_USD.csv
1990-09,4.7339,raw DEXCHUS_CN_USD.csv
1990-10,4.7339,raw DEXCHUS_CN_USD.csv
1990-11,5.2352,raw DEXCHUS_CN_USD.csv
1990-12,5.2352,raw DEXCHUS_CN_USD.csv
1991-01,5.2352,raw DEXCHUS_CN_USD.csv
1991-02,5.2352,raw DEXCHUS_CN_USD.csv
1991-03,5.2352,raw DEXCHUS_CN_USD.csv
1991-04,5.3036,raw DEXCHUS_CN_USD.csv
1991-05,5.349,raw DEXCHUS_CN_USD.csv
1991-06,5.369,raw DEXCHUS_CN_USD.csv
1991-07,5.3605,raw DEXCHUS_CN_USD.csv
1991-08,5.3862,raw DEXCHUS_CN_USD.csv
1991-09,5.3899,raw DEXCHUS_CN_USD.csv
1991-10,5.3944,raw DEXCHUS_CN_USD.csv
1991-11,5.4115,raw DEXCHUS_CN_USD.csv
1991-12,5.4478,raw DEXCHUS_CN_USD.csv
1992-01,5.4686,raw DEXCHUS_CN_USD.csv
1992-02,5.483,raw DEXCHUS_CN_USD.csv
1992-03,5.4812,raw DEXCHUS_CN_USD.csv
