year,value,variable,country,unit,source_note
1978,0.7000000000000028,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1980,7.5,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1985,9.299999999999995,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1990,3.0999999999999943,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1995,17.099999999999994,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1996,8.299999999999997,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1997,2.799999999999997,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1998,-0.7999999999999972,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
1999,-1.4000000000000057,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2000,0.4000000000000057,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2001,0.7000000000000028,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2002,-0.7999999999999972,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2003,1.2000000000000028,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2004,3.9000000000000057,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2005,1.7999999999999972,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2006,1.5,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2007,4.799999999999997,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2008,5.900000000000006,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2009,-0.7000000000000028,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2010,3.299999999999997,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2011,5.400000000000006,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2012,2.5999999999999943,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2013,2.6,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2014,2.0,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2015,1.4,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2016,2.0,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
2017,1.6,cpi_yoy,cn,pct,JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); NBS 统计公报 CPI annual avg 2013-2025
