regime_group,module,mean_Sm,n_years
J00,DEMOGRAPHY_LABOR,-0.795175,4
J00,EXTERNAL,-0.343525,4
J00,GROWTH,-0.55915,4
J00,INFLATION,-0.393425,4
J00,MONEY_CREDIT,-0.260675,4
J90,DEMOGRAPHY_LABOR,-0.8875083333333333,12
J90,EXTERNAL,-0.7394083333333333,12
J90,GROWTH,-0.9425416666666666,12
J90,INFLATION,-0.6309083333333333,12
J90,MONEY_CREDIT,-0.2554416666666667,12
OTHER,DEMOGRAPHY_LABOR,-1.4716111111111112,10
OTHER,EXTERNAL,-0.64207,10
OTHER,GROWTH,-0.9227500000000001,10
OTHER,INFLATION,-1.0440200000000002,10
OTHER,MONEY_CREDIT,-0.68315,10
