variable_id,display_name,layer,aggregation,observed_start,observed_end,n_nonnull,n_null,coverage_rate,risk,NOT_APPLICABLE,NOT_RELEASED,SOURCE_GAP,COVERAGE_LOW,STALE_SOURCE,LEGACY_REGIME,RETROSPECTIVE_NOT_AVAILABLE,INSUFFICIENT_HISTORY,HISTORY_SNAPSHOT_ONLY,HANDOFF_TO_QUARTERLY,all_na_segments,major_structural_gaps
cre.new_loan,cre.new_loan,STATE,last_known,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
cre.tsf_flow,cre.tsf_flow,STATE,last_known,2015-02,2026-07,138,85,61.9%,,84,1,0,0,0,0,0,0,0,0,"2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE); 2015-01~2015-01(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE)"
cre.tsf_stock,cre.tsf_stock,STATE,last_known,2015-01,2026-07,105,118,47.1%,,83,1,0,0,0,0,34,0,0,0,"2008-01~2014-11(83个月,PRE_INCEPTION,NOT_APPLICABLE); 2014-12~2014-12(1个月,INTERNAL_GAP,NOT_RELEASED); 2017-04~2020-01(34个月,INTERNAL_GAP,RETROSPECTIVE_NOT_AVAILABLE)","2008-01~2014-11(83个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-04~2020-01(34个月,INTERNAL_GAP,RETROSPECTIVE_NOT_AVAILABLE)"
ext.fdi,ext.fdi,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
ext.forex_reserve,ext.forex_reserve,STATE,last_known,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
ext.gold_reserve_value,ext.gold_reserve_value,STATE,last_known,2015-07,2026-07,133,90,59.6%,,89,1,0,0,0,0,0,0,0,0,"2008-01~2015-05(89个月,PRE_INCEPTION,NOT_APPLICABLE); 2015-06~2015-06(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2015-05(89个月,PRE_INCEPTION,NOT_APPLICABLE)"
gold.au9999_q,gold.au9999_q,STATE,last_known,2016-03,2026-07,125,98,56.1%,,98,0,0,0,0,0,0,0,0,0,"2008-01~2016-02(98个月,PRE_INCEPTION,NOT_APPLICABLE)","2008-01~2016-02(98个月,PRE_INCEPTION,NOT_APPLICABLE)"
gold.sge,gold.sge,STATE,last_known,2016-04,2026-07,124,99,55.6%,,99,0,0,0,0,0,0,0,0,0,"2008-01~2016-03(99个月,PRE_INCEPTION,NOT_APPLICABLE)","2008-01~2016-03(99个月,PRE_INCEPTION,NOT_APPLICABLE)"
gov.fiscal_revenue,gov.fiscal_revenue,STATE,last_known,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
gov.tax_revenue_cum,gov.tax_revenue_cum,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
gro.enterprise_boom,gro.enterprise_boom,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
gro.export_yoy,gro.export_yoy,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
gro.fai_official_cum,gro.fai_official_cum,STATE,last_known,2021-09,2026-07,54,169,24.2%,,163,1,5,0,0,0,0,0,0,0,"2008-01~2021-07(163个月,PRE_INCEPTION,NOT_APPLICABLE); 2021-08~2021-08(1个月,INTERNAL_GAP,NOT_RELEASED); 2022-04~2022-05(2个月,INTERNAL_GAP,SOURCE_GAP); 2023-04~2023-04(1个月,INTERNAL_GAP,SOURCE_GAP); 2024-04~2024-04(1个月,INTERNAL_GAP,SOURCE_GAP); 2025-04~2025-04(1个月,INTERNAL_GAP,SOURCE_GAP)","2008-01~2021-07(163个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.gdp_abs,gro.gdp_abs,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
