decision_month,afre_yoy,delta_pmi,ey,eyg,fr007_p90,fr007_vol,loans_12m,m1_m2_gap,pmi_gap,term_spread
2008-01,,,2.7840,-1.4097,4.2990,0.8292,,,,0.4437
2008-02,,,2.8377,-1.2906,3.9520,0.5862,,1.6600,3.0000,0.4542
2008-03,,0.4000,3.7189,-0.3271,2.6694,0.1459,,1.5600,3.4000,0.5487
2008-04,,5.0000,3.6483,-0.4242,3.4529,0.3140,,1.7800,8.4000,0.5392
2008-05,,0.8000,3.9526,-0.2063,3.9375,0.3715,,2.1100,9.2000,0.5768
2008-06,,-5.9000,4.9529,0.4244,3.6160,0.4377,,-0.1400,3.3000,0.6858
2008-07,,-1.3000,4.9068,0.4667,3.3716,0.2091,,-3.1800,2.0000,0.6349
2008-08,,-3.6000,5.8893,1.6659,3.7870,0.3167,,-2.3900,-1.6000,0.6052
2008-09,,0.0000,6.1920,2.4638,3.4200,0.1699,,-4.5200,-1.6000,0.3761
2008-10,,2.8000,8.2850,5.2099,3.4333,0.2457,,-5.8600,1.2000,0.5153
2008-11,,-6.6000,7.7160,4.7255,2.8694,0.2400,,-6.1700,-5.4000,1.0324
2008-12,,-5.8000,8.0515,5.2994,1.9811,0.3068,,-8.0000,-11.2000,1.5847
2009-01,,2.4000,7.3260,4.2893,1.0210,0.0485,49042.0000,-8.7600,-8.8000,1.8000
2009-02,,4.1000,7.0126,3.8618,0.9700,0.0233,57161.0000,-12.1100,-4.7000,1.8241
2009-03,,3.7000,5.8514,2.6902,0.9777,0.0185,65442.0000,-9.6100,-1.0000,1.9484
2009-04,,3.4000,5.2274,2.1202,0.9600,0.0192,81528.0000,-8.4700,2.4000,1.8082
2009-05,,1.1000,4.9188,1.8798,0.9700,0.0148,82756.0000,-8.4700,3.5000,1.8164
2009-06,,-0.4000,4.2699,1.0296,1.1918,0.1044,86240.0000,-7.0500,3.1000,2.0196
2009-07,,0.1000,3.7092,0.2062,1.9872,0.2895,98220.0000,-3.6700,3.2000,1.6862
2009-08,,0.1000,5.0302,1.5497,1.6300,0.2095,98093.0000,-2.0500,3.3000,1.7081
2009-09,,0.7000,4.7710,1.2578,1.7456,0.1289,99482.0000,-0.8100,4.0000,1.6850
2009-10,,0.3000,4.5434,0.8548,1.6194,0.0825,100904.0000,0.2000,4.3000,1.7821
2009-11,,0.9000,4.3085,0.7516,1.4780,0.0422,101615.0000,2.6100,5.2000,1.6771
2009-12,,0.0000,4.1684,0.5262,1.5644,0.0522,99788.0000,4.8900,5.2000,1.6737
2010-01,,1.4000,4.6296,1.0496,1.5823,0.1502,95943.0000,4.6700,6.6000,1.5004
2010-02,,-0.8000,4.5956,1.2203,2.2540,0.3072,93700.0000,12.9800,5.8000,1.3087
2010-03,,-3.8000,4.6773,1.1955,1.7158,0.0557,89984.0000,9.4700,2.0000,1.4681
2010-04,,3.1000,5.8343,2.4778,1.6970,0.0412,76171.0000,7.4400,5.1000,1.3903
2010-05,,0.6000,6.4267,3.1837,2.4065,0.2924,77993.0000,9.7700,5.7000,1.1574
2010-06,,-1.8000,6.8918,3.6128,3.1551,0.3434,77817.0000,8.9000,3.9000,1.0116
2010-07,,-1.8000,6.2933,2.9937,2.6105,0.3681,68540.0000,6.1000,2.1000,1.0946
2010-08,,-0.9000,6.8027,3.5726,2.1810,0.2877,70176.0000,5.3000,1.2000,1.0614
2010-09,,0.5000,6.8027,3.4844,2.8422,0.2553,71518.0000,2.7000,1.7000,1.1444
2010-10,,2.1000,6.2422,2.5601,2.0368,0.1830,72355.0000,1.9000,3.8000,1.2999
2010-11,,0.9000,6.7476,2.7766,2.6573,0.4390,75702.0000,2.8000,4.7000,0.9513
2010-12,,0.5000,6.6711,2.7912,6.0140,1.3688,78443.0000,2.6000,5.2000,0.5091
2011-01,,-1.3000,6.6534,2.6347,8.1800,2.4551,79450.0000,1.5000,3.9000,0.7559
2011-02,,-1.0000,6.4725,2.5411,6.1625,1.3121,75779.0000,-3.6000,2.9000,0.6821
2011-03,,-0.7000,6.6578,2.7458,2.9457,0.3656,74157.0000,-1.2000,2.2000,0.7324
2011-04,,1.2000,7.0621,3.1908,3.8732,0.7249,75844.0000,-1.6000,3.4000,0.7733
2011-05,,-0.5000,7.4906,3.6595,4.7100,0.8641,75534.0000,-2.4000,2.9000,0.6486
2011-06,,-0.9000,7.4460,3.5603,8.6000,1.9447,74557.0000,-2.4000,2.0000,0.4138
2011-07,,-1.1000,7.5873,3.5396,6.2800,0.8549,74869.0000,-2.8000,0.9000,0.3235
2011-08,,-0.2000,8.3403,4.2353,5.0000,0.8092,74458.0000,-3.1000,0.7000,0.2127
2011-09,,0.2000,8.9847,5.1242,4.8654,0.5954,74496.0000,-2.3000,0.9000,0.1890
2011-10,,0.3000,8.9127,5.1520,4.8800,0.6620,73185.0000,-4.1900,1.2000,0.3405
2011-11,,-0.8000,9.3985,5.7894,4.3190,0.3541,73176.0000,-4.5000,0.4000,0.6238
2011-12,,-1.4000,9.7466,6.3163,4.7120,0.6902,73116.0000,-4.9000,-1.0000,0.6150
2012-01,,1.3000,9.2421,5.8357,6.4420,1.1951,74715.0000,-5.7000,0.3000,0.5658
2012-02,,0.2000,8.8106,5.2766,5.2100,0.7033,71833.0000,-9.3000,0.5000,0.5186
2012-03,,0.5000,9.3197,5.8143,3.4845,0.2334,73563.0000,-8.7000,1.0000,0.6467
2012-04,,2.1000,8.9047,5.3658,3.9850,0.1599,76883.4200,-9.0000,3.1000,0.6339
2012-05,,0.2000,9.2251,5.8808,3.8166,0.5613,76271.2100,-9.7000,3.3000,0.9312
2012-06,,-2.9000,9.8039,6.4786,4.2448,0.7584,78687.5300,-9.7000,0.4000,0.9744
2012-07,,-0.2000,10.0908,6.7993,4.0240,0.3127,81546.7000,-8.9000,0.2000,0.9206
