统计时间,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中:中央政府,对其他存款性公司债权,对其他金融性公司债权,对非货币金融机构债权,对非金融性公司债权,其他资产,总资产,储备货币,发行货币,金融性公司存款,其他存款性公司,其他金融性公司,对金融机构负债,准备金存款,非金融性公司存款,活期存款,债券,国外负债,政府存款,自有资金,其他负债,总负债,标准月份
1993.3,1324.0,1222.0,12.0,90.0,,1339.6,,213.5,,561.1,,,9846.1,4867.3,3844.6,,,,,1134.2,,,,337.6,310.3,-384.1,,1993-03
1993.6,1286.5,1183.0,12.0,91.5,,1373.7,,199.3,,600.6,,,10089.1,5228.6,3751.6,,,,,1108.9,,,,340.4,310.3,-411.6,,1993-06
1993.9,1451.0,1332.2,12.0,106.8,,1399.8,,144.7,,639.1,,,11075.9,5438.3,4439.6,,,,,1198.0,,,,414.5,310.3,-286.5,,1993-09
1993.12,1549.5,1431.8,12.0,105.7,,1582.7,,251.7,,682.3,,,13147.0,6314.2,5541.1,,,,,1291.7,,,,473.4,310.3,-255.0,,1993-12
1994.3,2437.6,2253.8,12.0,171.8,,1582.8,,258.7,,682.9,,,13612.3,6308.7,5934.2,,,,,1369.4,,,,635.4,280.5,-298.6,,1994-03
1994.6,3081.7,2888.0,12.0,181.7,,1582.8,,275.7,,696.1,,,14138.3,6258.6,6399.3,,,,,1480.4,,,,874.0,280.5,-274.4,,1994-06
1994.9,3816.8,3619.0,12.0,185.8,,1582.8,,231.3,,708.3,,,15193.8,6923.5,6634.2,,,,,1636.1,,,,912.1,280.5,-467.2,,1994-09
1994.12,4451.3,4263.9,12.0,175.4,,1687.7,,269.9,,728.3,,,17217.8,7883.9,7468.3,,,,,1865.6,,,,833.3,265.7,-728.6,,1994-12
1995.3,4992.7,4839.1,12.0,141.6,,1582.8,,312.3,,739.8,,,17588.4,7826.1,7835.5,,,,,1926.8,,,,910.7,265.7,-842.8,,1995-03
1995.6,5322.6,5192.6,12.0,118.0,,1582.8,,200.6,,744.0,,,17297.0,7595.5,7664.4,,,,,2037.1,,,,1498.1,263.8,-1218.9,,1995-06
1995.9,6020.1,5846.0,12.0,162.1,,1582.8,,183.7,,697.7,,,18705.8,7960.7,8497.9,,,,,2247.2,,,,1236.5,371.2,-1457.3,,1995-09
1995.12,6669.5,6511.4,12.0,146.1,,1582.8,,181.6,,680.1,,,20759.8,8574.0,9672.5,,,,,2513.3,,,,973.4,371.1,-1677.1,,1995-12
1996.3,7329.4,7176.8,12.0,140.6,,1582.8,,174.2,,680.1,,,21513.6,8844.7,10052.9,,,,,2616.0,,,,963.2,369.7,-1628.9,,1996-03
1996.6,7887.8,7712.6,12.0,163.2,,1582.8,,120.9,,674.9,,,21349.6,8343.4,10261.6,,,,,2744.6,,,,1132.6,369.7,-1649.0,,1996-06
1996.9,8729.1,8536.8,12.0,180.3,,1582.8,,119.0,,668.4,,,22509.2,9135.3,10434.9,,,,,2939.0,,,,1400.4,368.8,-2004.4,,1996-09
1996.12,9562.2,9330.0,12.0,220.2,,1582.8,,117.7,,685.7,,,26888.5,9434.8,14354.9,,,,,3098.8,,,,1225.4,366.8,-2040.9,,1996-12
1997.3,10664.2,10138.6,12.0,513.6,,1582.8,,1658.7,,661.7,,,26811.4,10138.9,13738.3,,,,,2934.2,,,,1434.3,366.2,-534.5,,1997-03
1997.6,11436.5,10916.1,12.0,508.4,,1582.8,,1835.4,,643.7,,,27485.2,9959.1,14463.4,,,,,3062.7,,,,1572.9,366.3,-809.0,,1997-06
1997.9,12515.6,12018.1,12.0,485.5,,1582.8,,1898.0,,169.4,,,28379.9,10271.5,14903.4,,,,,3205.0,,,,1722.3,366.2,-890.1,,1997-09
1997.12,13229.2,12649.3,12.0,567.9,,1582.8,,2072.3,,171.0,,,30632.8,10981.1,16114.9,,,,,3536.8,,,,1485.9,366.2,-1190.6,,1997-12
1998.3,13179.7,12651.4,12.0,516.3,,1582.8,,2138.4,,171.0,,,29213.4,11058.0,14479.5,,,,,3675.9,,,,1843.6,366.6,-456.1,,1998-03
1998.6,13169.7,12621.5,12.0,536.2,,1582.8,,2404.0,,109.3,,,30589.8,10551.9,16109.3,,,,,3928.6,,,,1381.1,366.6,-1694.5,,1998-06
1998.9,13284.7,12729.3,12.0,543.4,,1582.8,,2607.0,,105.0,,,28177.4,11343.9,12657.5,,,,,4176.0,,,,1877.7,366.6,-1590.9,,1998-09
1998.12,13560.3,13087.9,12.0,460.4,,1582.8,,2962.8,,103.8,,,31335.3,12064.1,14744.7,,,,,4526.5,,118.9,,1726.1,366.8,,,1998-12
1999.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-01
1999.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-02
1999.3,13522.1,13107.1,12.0,403.0,,1582.8,,3012.5,,102.9,,,29185.8,12251.0,13430.0,,,,,3504.8,,118.9,,1770.6,366.8,,,1999-03
1999.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-04
1999.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-05
1999.6,13549.9,13134.8,12.0,403.1,,1582.8,,3047.8,,102.5,,,28799.8,11787.0,13405.2,,,,,607.6,,118.9,,1709.2,366.8,,,1999-06
1999.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-07
1999.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-08
1999.9,14661.6,14252.3,12.0,397.3,,1582.8,,3048.7,,101.9,,,29393.2,13401.8,12315.4,,,,,3676.0,,118.9,,2160.5,366.8,,,1999-09
1999.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10
1999.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-11
1999.12,14458.5,14061.4,12.0,385.1,1582.8,1582.8,,3833.1,3833.1,101.5,,,33620.0,15069.8,14728.5,,,14728.5,14200.7,3821.8,,118.9,,1785.5,366.8,,,1999-12
