date,time,DOMESTICL_PRODUCT_BASE,FIRST_PRODUCT_BASE,SECOND_PRODUCT_BASE,THIRD_PRODUCT_BASE,SUM_SAME,FIRST_SAME,SECOND_SAME,THIRD_SAME
2026-06-01,2026年第1-2季度,695704,31521.8,250472.9,413709.2,4.7,3.7,3.9,5.2
2026-03-01,2026年第1季度,334192.9,11940.8,116134.9,206117.2,5,3.8,4.9,5.2
2025-12-01,2025年第1-4季度,1401879.2,93346.8,499653,808879.3,5,3.9,4.5,5.4
2025-09-01,2025年第1-3季度,1013967.9,58187.1,362849.7,592931.1,5.2,3.8,4.9,5.4
2025-06-01,2025年第1-2季度,659861.6,31234.8,238262.6,390364.3,5.3,3.7,5.3,5.5
2025-03-01,2025年第1季度,318466.4,11729.8,111549.3,195187.3,5.4,3.5,5.9,5.3
2024-12-01,2024年第1-4季度,1348066.2,91635.8,490305.4,766124.9,5,3.5,5.3,5
2024-09-01,2024年第1-3季度,974553.8,57497.5,355237.3,561819,4.8,3.4,5.4,4.7
2024-06-01,2024年第1-2季度,633599.4,30468.8,233253,369877.5,5,3.5,5.8,4.6
2024-03-01,2024年第1季度,304761.8,11458.8,108277.4,185025.6,5.3,3.3,6,5
2023-12-01,2023年第1-4季度,1294271.7,89169.1,475936.1,729166.5,5.4,4.1,4.4,6.3
2023-09-01,2023年第1-3季度,937047,55955.6,344190.1,536901.2,5.4,4,4.1,6.5
2023-06-01,2023年第1-2季度,608606.3,30195.9,224508.4,353902,5.7,3.7,4,6.9
2023-03-01,2023年第1季度,292368.8,11500.4,104579.5,176288.8,4.7,3.7,2.9,5.9
2022-12-01,2022年第1-4季度,1234029.4,88207,467629.6,678192.7,3.1,4.2,2.3,3.5
2022-09-01,2022年第1-3季度,891687,54756.9,339457.2,497472.9,3.2,4.3,2.4,3.5
2022-06-01,2022年第1-2季度,576287.3,29103.4,221608.7,325575.3,2.7,5.1,2,3
2022-03-01,2022年第1季度,277175.8,10920.7,102919.5,163335.6,4.8,6.1,4,5.3
2021-12-01,2021年第1-4季度,1173823,83216.5,447138.2,643468.4,8.6,7.1,8.2,9
2021-09-01,2021年第1-3季度,840996.2,51677.3,317565.8,471753.1,10.2,7.5,10.6,10.3
2021-06-01,2021年第1-2季度,543034.4,28534.8,204557.8,309941.8,13,7.8,14.5,12.6
2021-03-01,2021年第1季度,255055.2,11369.3,91938.7,151747.2,18.9,8.1,24.9,16.4
2020-12-01,2020年第1-4季度,1034867.6,78030.9,381985.8,574850.9,2.3,3.1,2.1,2.4
2020-09-01,2020年第1-3季度,733031.4,48315.2,268731.7,415984.6,0.7,2.5,0.5,0.7
2020-06-01,2020年第1-2季度,463121.1,26157.1,169215.6,267748.5,-1.6,1,-2.3,-1.3
2020-03-01,2020年第1季度,209671.1,10222.5,72092,127356.6,-6.8,-3.1,-10.1,-4.9
