date,time,BASE,BASE_SAME,BASE_SEQUENTIAL,BASE_ACCUMULATE
2026-07-01,2026年07月份,33958,-14.19,-29.04,260328
2026-06-01,2026年06月份,47858,-15.6,28.58,226370
2026-05-01,2026年05月份,37219,-17.15,-3.54,178512
2026-04-01,2026年04月份,38585,-12.01,-22.81,141293
2026-03-01,2026年03月份,49987,-1.12,,102708
2026-02-01,2026年02月份,,,,52721
2025-12-01,2025年12月份,41151,-15.21,17.17,485186
2025-11-01,2025年11月份,35121,-17.59,-6.04,444035
2025-10-01,2025年10月份,37379,-15.52,-17.71,408914
2025-09-01,2025年09月份,45424,-8.41,19.91,371535
2025-08-01,2025年08月份,37882,-9.32,-4.28,326111
2025-07-01,2025年07月份,39575,-6.26,-30.21,288229
2025-06-01,2025年06月份,56707,-1.18,26.23,248654
2025-05-01,2025年05月份,44923,0.71,2.45,191947
2025-04-01,2025年04月份,43850,1.13,-13.26,147024
2025-03-01,2025年03月份,50555,2.76,,103174
2025-02-01,2025年02月份,,,,52619
2024-12-01,2024年12月份,48535,14.95,13.89,514374
2024-11-01,2024年11月份,42617,2.93,-3.68,465839
2024-10-01,2024年10月份,44244,-0.29,-10.79,423222
2024-09-01,2024年09月份,49593,3.33,18.72,378978
2024-08-01,2024年08月份,41774,1.53,-1.06,329385
2024-07-01,2024年07月份,42220,-1.32,-26.43,287611
2024-06-01,2024年06月份,57385,5.69,28.65,245391
2024-05-01,2024年05月份,44605,7.92,2.87,188006
2024-04-01,2024年04月份,43359,7.86,-11.86,143401
2024-03-01,2024年03月份,49195,-8.4,,100042
2024-02-01,2024年02月份,,,,50847
2023-12-01,2023年12月份,42222,-18.95,1.97,503036
2023-11-01,2023年11月份,41405,-14.78,-6.69,460814
2023-10-01,2023年10月份,44374,-11.34,-7.54,419409
2023-09-01,2023年09月份,47993,-11.62,16.65,375035
2023-08-01,2023年08月份,41144,-13,-3.84,327042
2023-07-01,2023年07月份,42785,-11.57,-21.2,285898
2023-06-01,2023年06月份,54298,-17.06,31.37,243113
2023-05-01,2023年05月份,41333,-21.15,2.82,188815
2023-04-01,2023年04月份,40200,-17.41,-25.15,147482
2023-03-01,2023年03月份,53705,-0.75,,107282
2023-02-01,2023年02月份,,,,53577
2022-12-01,2022年12月份,52095,3.23,7.23,572138
2022-11-01,2022年11月份,48584,0.67,-2.92,520043
2022-10-01,2022年10月份,50047,4.27,-7.84,471459
2022-09-01,2022年09月份,54306,6.66,14.83,421412
2022-08-01,2022年08月份,47294,6.57,-2.25,367106
2022-07-01,2022年07月份,48382,3.75,-26.1,319812
2022-06-01,2022年06月份,65466,5.62,24.89,271430
2022-05-01,2022年05月份,52420,4.6,7.7,205964
2022-04-01,2022年04月份,48672,1.8,-10.05,153544
2022-03-01,2022年03月份,54109,6.6,,104872
2022-02-01,2022年02月份,,,,50763
2021-12-01,2021年12月份,50465,160.84,4.57,544547
2021-11-01,2021年11月份,48259,196.65,0.55,494082
2021-10-01,2021年10月份,47996,2.64,-5.73,445823
2021-09-01,2021年09月份,50914,-11.75,14.72,397827
2021-08-01,2021年08月份,44380,-10.56,-4.83,346913
2021-07-01,2021年07月份,46633,-2.05,-24.76,302533
2021-06-01,2021年06月份,61983,-24.79,23.69,255900
2021-05-01,2021年05月份,50113,-19.65,4.82,193917
2021-04-01,2021年04月份,47810,-9.24,-5.81,143804
2021-03-01,2021年03月份,50758,-0.13,,95994
2021-02-01,2021年02月份,,,,45236
2020-12-01,2020年12月份,19347,8.94,18.93,518907
2020-11-01,2020年11月份,16268,-28.77,-65.21,499560
2020-10-01,2020年10月份,46762,-5.87,-18.95,483292
2020-09-01,2020年09月份,57696,-4.75,16.28,436530
2020-08-01,2020年08月份,49620,-4.09,4.22,378834
2020-07-01,2020年07月份,47611,-4.38,-42.23,329214
2020-06-01,2020年06月份,82409,1.06,32.13,281603
2020-05-01,2020年05月份,62370,0.91,18.4,199194
2020-04-01,2020年04月份,52679,-2.22,3.65,136824
2020-03-01,2020年03月份,50822,-10.87,,84145
2020-02-01,2020年02月份,,,,33323
2019-12-01,2019年12月份,17760,-32.65,-22.23,551478
2019-11-01,2019年11月份,22838,-62.99,-54.03,533718
2019-10-01,2019年10月份,49676,-22.53,-17.99,510880
2019-09-01,2019年09月份,60576,-11.29,17.09,461204
2019-08-01,2019年08月份,51736,-12.84,3.9,400628
2019-07-01,2019年07月份,49792,-14.86,-38.94,348892
2019-06-01,2019年06月份,81545,0.33,31.93,299100
2019-05-01,2019年05月份,61808,0.2,14.72,217555
2019-04-01,2019年04月份,53876,0.52,-5.52,155747
2019-03-01,2019年03月份,57022,1.58,,101871
2019-02-01,2019年02月份,,,,44849
2018-12-01,2018年12月份,26369,-53.43,-57.26,635636
2018-11-01,2018年11月份,61700,7.79,-3.78,609267
2018-10-01,2018年10月份,64125,8.06,-6.09,547567
2018-09-01,2018年09月份,68284,6.15,15.03,483442
2018-08-01,2018年08月份,59360,4.62,1.5,415158
