date,time,TOTAL_SHARES_SH,TOTAL_MARKE_SH,DEAL_AMOUNT_SH,VOLUME_SH,HIGH_INDEX_SH,LOW_INDEX_SH,TOTAL_SZARES_SZ,TOTAL_MARKE_SZ,DEAL_AMOUNT_SZ,VOLUME_SZ,HIGH_INDEX_SZ,LOW_INDEX_SZ
2026-08-01,2026年08月份,,,,,3994.1812,3797.6431,,,,,2775.0596,2544.3757
2026-07-01,2026年07月份,51758.28,673143.48,289782.87,13552.13,4143.3135,3741.1099,27705.8769,424903.0372,327969.3376493,16419.7645,3008.6148,2544.3233
2026-06-01,2026年06月份,51056.51,687173.02,300742.62,13680.5,4175.3476,3927.8527,27552.5966,495324.8326,353281.97896481,16237.1069,3037.0781,2822.5398
2026-05-01,2026年05月份,50956.71,678675.08,258303.63,12246.31,4258.8631,4055.8275,27362.1811,487168.9133,314544.65401198,14669.455,3102.8856,2979.0788
2026-04-01,2026年04月份,50905.84,681311.47,212749.13,12079.17,4118.7552,3871.3004,27269.6339,482100.5961,279447.02104261,14385.506,2926.5142,2644.6199
2026-03-01,2026年03月份,50837.47,639452.66,225151.71,15576.71,4197.228,3794.6844,27222.5808,438619.4565,283954.14707278,16540.1556,2887.384,2652.133
2026-02-01,2026年02月份,50801,682245.08,137584,8456.28,4167.8438,4002.782,27181.1769,477047.0501,183520.1888239,10431.2229,2891.8838,2795.7524
2026-01-01,2026年01月份,50751,672864.14,259829,15254.42,4190.8663,3983.5759,27133.6597,462613.6993,343595.69454472,19190.7279,2887.4244,2701.066
2025-12-01,2025年12月份,50712,647771.04,178320,11740.31,3983.9787,3815.8444,26890.2406,432408.3645,250516.12120706,15559.8811,2672.7214,2562.8543
2025-11-01,2025年11月份,50625,628829.71,161610,11362.6,4034.0786,3816.5757,26787.1969,417348.9845,217954.44003859,14301.1621,2665.1438,2513.5487
2025-10-01,2025年10月份,50565,638481.52,163468,10819.2,4025.7048,3800.1055,26740.3885,425782.545,201098.54875657,11811.0499,2675.8427,2551.0214
2025-09-01,2025年09月份,50461,624328.59,227086,14359.15,3899.9594,3732.8404,26715.6201,427290.6856,299306.99177424,18005.2039,2647.0961,2508.8807
2025-08-01,2025年08月份,50627,619625.6,200894,13628.11,3888.5985,3547.1629,26648.5981,413250.1286,277829.0509418,17629.6367,2577.7656,2286.8893
2025-07-01,2025年07月份,50600,572912.11,156067,13241.67,3636.1664,3441.0379,26612.5367,367762.6816,214274.02199878,15948.498,2324.595,2170.4749
2025-06-01,2025年06月份,50182,548595.47,102087.7329,8609.0664,3462.752,3340.0666,26562.1792,350945.3424,159380.82132864,12507.8679,2171.1151,2076.5204
2025-05-01,2025年05月份,49312,526655.78,89268,7777.68,3417.3142,3286.9886,26486.1111,334744.4432,135758.74035247,11116.1218,2115.7465,2048.9228
2025-04-01,2025年04月份,49364,515570.32,108319,9528.43,3361.134,3040.6932,26440.4002,325948.535,145147.21714878,12571.9959,2119.7604,1895.6956
2025-03-01,2025年03月份,49388,524049.34,125269,10056.15,3439.0463,3297.5304,26439.177,341128.3394,187994.03960725,14284.2669,2224.6373,2112.132
2025-02-01,2025年02月份,49428,520923.77,126678,9738.81,3388.7808,3220.2794,26405.1352,343584.5056,199161.66823759,14570.353,2202.3384,2017.0347
2025-01-01,2025年01月份,49415,509659.92,86575,7642.92,3351.722,3140.9775,26399.6002,324178.4093,127973.46256776,11021.1626,2050.4367,1935.2476
2024-12-01,2024年12月份,49344,524308.99,139375,12968.65,3494.8669,3323.0091,26352.1433,330411.5313,210936.81186493,18624.7778,2226.928,2104.0977
2024-11-01,2024年11月份,49251,519637.6,163636,14460.69,3509.8182,3227.3553,26081.5581,338651.4651,241682.72303958,19869.5735,2255.2499,2071.6743
2024-10-01,2024年10月份,49222,511459.11,143381,12556.94,3674.4048,3152.8213,26055.9472,334114.3552,213400.13313662,17041.5919,2276.5686,1951.9376
2024-09-01,2024年09月份,49200,519544.13,65217,6976.38,3358.5883,2689.6952,26089.363,323216.4251,85739.35072172,9332.3705,2023.498,1546.7093
2024-08-01,2024年08月份,49188,442360.33,56752,5979.64,2947.8768,2815.3829,26132.1549,258376.6494,74156.37047186,8303.3235,1693.2676,1568.9495
2024-07-01,2024年07月份,49289,457332.58,67979,6653.82,3004.987,2865.1493,26394.6105,269609.4041,82106.61504694,8082.8805,1708.701,1629.2435
2024-06-01,2024年06月份,49290,461499.75,61069,5713.87,3097.2043,2933.3304,26501.2932,271650.1652,75919.9608269,7268.7032,1812.8015,1699.1037
2024-05-01,2024年05月份,49232,480119.34,74425,7008.89,3174.2658,3085.3841,26470.0417,291482.9265,94616.43499997,8979.0384,1883.3548,1818.2003
2024-04-01,2024年04月份,49191,482871.91,81318,7656.11,3123.2876,2995.542,26406.7047,297333.5468,101293.37933266,9548.8926,1871.6089,1761.5263
2024-03-01,2024年03月份,49146,473022.85,89951,7732.92,3090.0513,2984.1201,26401.806,295922.8318,122331.81592492,10725.7072,1897.8677,1802.0608
