date,time,EXIT_BASE,IMPORT_BASE,EXIT_BASE_SAME,IMPORT_BASE_SAME,EXIT_BASE_SEQUENTIAL,IMPORT_BASE_SEQUENTIAL,EXIT_ACCUMULATE,IMPORT_ACCUMULATE,EXIT_ACCUMULATE_SAME,IMPORT_ACCUMULATE_SAME
2026-07-01,2026年07月份,397851707.574,285514272.027,23.9,27.6,-3.41635409,-0.3111234,2522627802.86,1835423295.628,18.5,26.8
2026-06-01,2026年06月份,411924507.336,286405346.078,26.9,35.8,9.45373702,5.61771996,2124776095.286,1549909023.601,17.6,26.6
2026-05-01,2026年05月份,376345768.134,271171680.453,19.2,27.3,4.78885825,-1.25487511,1712851587.95,1263503677.523,15.5,24.7
2026-04-01,2026年04月份,359146739.852,274617790.746,14,25.3,11.8819652,1.34412678,1336505819.816,992331997.07,14.5,24
2026-03-01,2026年03月份,321005033.469,270975536.01,2.5,28.3,7.07784909,28.83329491,977359079.964,717714206.324,14.7,23.5
2026-02-01,2026年02月份,299786590.956,210330362.348,39.6,14.6,-15.92429811,-11.03089221,656354046.495,446738670.314,21.8,20.8
2026-01-01,2026年01月份,356567455.539,236408307.966,10,26.9,-0.18759059,-3.6286628,356567455.539,236408307.966,10,26.9
2025-12-01,2025年12月份,357237599.674,245309772.41,6.6,5.7,8.25695883,11.43711623,3770231339.779,2590072992.309,5.5,0
2025-11-01,2025年11月份,329990426.065,220132915.061,5.9,1.9,8.22353265,1.48239545,3412993740.105,2344763219.899,5.4,-0.6
2025-10-01,2025年10月份,304915592.747,216917342.259,-1.2,0.9,-7.08008748,-9.40117353,3083003314.04,2124630304.838,5.3,-0.8
2025-09-01,2025年09月份,328148815.996,239426216.34,8.2,7.4,2.13772089,8.69427558,2778087721.293,1907712962.579,6.1,-1
2025-08-01,2025年08月份,321280730.703,220274908.744,4.3,1.4,0.02007257,-1.59413567,2449938905.297,1668286746.239,5.8,-2.1
2025-07-01,2025年07月份,321216254.337,223843274.221,7.1,4.2,-1.04772089,6.16450464,2128658174.594,1448011837.495,6,-2.6
2025-06-01,2025年06月份,324617337.998,210845682.351,5.8,1.2,2.84706597,-0.99539577,1807441920.257,1224168563.274,5.9,-3.8
2025-05-01,2025年05月份,315631112.024,212965532.244,4.6,-3.3,0.16344447,-2.86865419,1482824582.259,1013322880.923,5.9,-4.8
2025-04-01,2025年04月份,315116072.244,219255205.886,8,-0.3,0.66203325,3.83887753,1167193470.235,800357348.679,6.2,-5.1
2025-03-01,2025年03月份,313043619.408,211149437.569,12.2,-4.3,45.75607612,15.0121917,852077397.991,581102142.793,5.6,-6.9
2025-02-01,2025年02月份,214772260.436,183588743.465,-3.1,1.6,-33.76572661,-1.48913892,539033778.583,369952705.224,2.1,-8.3
2025-01-01,2025年01月份,324261518.147,186363961.759,5.9,-16.3,-3.39177891,-19.13740098,324261518.147,186363961.759,5.9,-16.3
2024-12-01,2024年12月份,335645884.471,230469913.179,10.7,1,7.62110068,7.41945358,3575794682.302,2583218073.401,5.9,1.1
2024-11-01,2024年11月份,311877394.264,214551373.611,6.6,-4,0.97842491,0.66285797,3240148797.831,2352748160.222,5.4,1.1
2024-10-01,2024年10月份,308855475.342,213138567.625,12.7,-2.4,1.80735302,-3.82500264,2928271403.567,2138196786.611,5.3,1.7
2024-09-01,2024年09月份,303372463.959,221615361.041,2.4,0.2,-1.57987541,2.27315865,2619415928.225,1925058218.986,4.5,2.1
2024-08-01,2024年08月份,308242308.388,216689661.262,8.6,0.2,2.67087267,0.90582073,2316043464.266,1703442857.945,4.7,2.4
2024-07-01,2024年07月份,300223715.236,214744461.409,6.9,6.8,-2.28229888,3.14412761,2007801155.878,1486753196.683,4.2,2.7
2024-06-01,2024年06月份,307235753.382,208198436.869,8.5,-2.5,1.86756697,-5.45326804,1707577440.642,1272008735.274,3.7,2
2024-05-01,2024年05月份,301603113.273,220206909.909,7.4,2,3.38883817,0.16769387,1400341687.26,1063810298.405,2.7,3
2024-04-01,2024年04月份,291717286.519,219838254.643,1.3,8.3,4.5064135,-0.32743728,1098738573.987,843603388.496,1.5,3.2
2024-03-01,2024年03月份,279138166.508,220560451.794,-7.6,-2,25.9313085,22.07557958,807021287.468,623765133.853,1.5,1.6
2024-02-01,2024年02月份,221659069.396,180675326.347,6.3,-8,-27.61539524,-18.80831822,527883120.96,403204682.059,7.1,3.7
2024-01-01,2024年01月份,306224051.564,222529355.712,7.7,15.6,0.97199321,-2.63376694,306224051.564,222529355.712,7.7,15.6
2023-12-01,2023年12月份,303276227.214,228548798.415,2.3,0.2,3.63858158,2.22990466,3379043569.498,2556941206.115,-4.6,-5.5
2023-11-01,2023年11月份,292628693.462,223563544.516,0.7,-0.7,6.72152441,2.39414393,3075767342.284,2328392407.7,-5.3,-6.1
2023-10-01,2023年10月份,274198382.276,218336260.192,-6.6,2.9,-7.50690484,-1.35406541,2783138648.822,2104828863.184,-5.9,-6.6
2023-09-01,2023年09月份,296452812.815,221333257.262,-6.8,-6.3,4.44407374,2.17586309,2508940266.546,1886492602.992,-5.8,-7.6
2023-08-01,2023年08月份,283838806.932,216619904.704,-8.5,-7.2,1.08983475,7.56638839,2212487453.731,1665159345.73,-5.6,-7.7
2023-07-01,2023年07月份,280778782.19,201382521.006,-14.2,-12.1,-0.91675965,-5.81615481,1928648646.799,1448539441.026,-5.2,-7.8
2023-06-01,2023年06月份,283376665.126,213818538.203,-12.4,-7,0.87502543,-0.90291576,1647869864.609,1247156920.02,-3.5,-7.1
2023-05-01,2023年05月份,280918556.318,215766730.015,-7.6,-5.2,-2.48497125,6.27369522,1364493199.483,1033338381.817,-1.4,-7.1
2023-04-01,2023年04月份,288077191.721,203029291.081,7.1,-8.8,-4.75150526,-9.91475083,1083574643.165,817571651.802,0.4,-7.6
2023-03-01,2023年03月份,302448025.551,225374623.435,10.9,-2,44.96102616,14.62384144,795497451.444,614542360.721,-1.9,-7.2
2023-02-01,2023年02月份,208640924.774,196621069.936,-2.8,4.3,-26.64040493,2.11605978,493049425.893,389167737.286,-8.4,-10
