date,CITY,FIRST_COMHOUSE_SAME,FIRST_COMHOUSE_SEQUENTIAL,FIRST_COMHOUSE_BASE,SECOND_HOUSE_SAME,SECOND_HOUSE_SEQUENTIAL,SECOND_HOUSE_BASE,REPORT_DAY
2026-07-01,北京,97.7,99.7,,95.5,100,,2026年07月01日
2026-07-01,上海,103,100.2,,98,100.3,,2026年07月01日
2026-06-01,北京,97.9,99.7,,94.5,100.1,,2026年06月01日
2026-06-01,上海,103.1,100.3,,96.8,100.4,,2026年06月01日
2026-05-01,北京,97.9,99.8,,93.5,100.1,,2026年05月01日
2026-05-01,上海,103.2,100.2,,95.7,100.6,,2026年05月01日
2026-04-01,北京,97.7,99.8,,92.6,100.4,,2026年04月01日
2026-04-01,上海,103.7,100.4,,94.4,100.7,,2026年04月01日
2026-03-01,北京,97.9,100,,91.7,100.6,,2026年03月01日
2026-03-01,上海,103.7,100.3,,93.8,100.4,,2026年03月01日
2026-02-01,北京,97.7,100.2,,91.6,100.3,,2026年02月01日
2026-02-01,上海,104.2,100.2,,93.8,100.2,,2026年02月01日
2026-01-01,北京,97.6,99.7,,91.3,99.8,,2026年01月01日
2026-01-01,上海,104.2,100,,93.2,99.6,,2026年01月01日
2025-12-01,北京,97.6,99.6,,91.5,98.7,,2025年12月01日
2025-12-01,上海,104.8,100.2,,93.9,99.4,,2025年12月01日
2025-11-01,北京,97.9,99.5,,93.2,98.7,,2025年11月01日
2025-11-01,上海,105.1,100.1,,95.4,99.2,,2025年11月01日
2025-10-01,北京,98,99.9,,95.3,98.9,,2025年10月01日
2025-10-01,上海,105.7,100.3,,96.6,99.1,,2025年10月01日
2025-09-01,北京,97.4,100.2,,97.3,99.1,,2025年09月01日
2025-09-01,上海,105.6,100.3,,97.6,99,,2025年09月01日
2025-08-01,北京,96.5,99.6,,96.9,98.8,,2025年08月01日
2025-08-01,上海,105.9,100.4,,97.4,99,,2025年08月01日
2025-07-01,北京,96.4,100,,97.1,98.9,,2025年07月01日
2025-07-01,上海,106.1,100.3,,97.8,99.1,,2025年07月01日
2025-06-01,北京,95.9,99.7,,98.2,99,,2025年06月01日
2025-06-01,上海,106,100.4,,98.7,99.3,,2025年06月01日
2025-05-01,北京,95.7,99.6,,99.3,99.2,,2025年05月01日
2025-05-01,上海,105.9,100.7,,99.9,99.3,,2025年05月01日
2025-04-01,北京,95,100.1,,99,99.4,,2025年04月01日
2025-04-01,上海,105.9,100.5,,99.4,100.1,,2025年04月01日
2025-03-01,北京,94.3,99.8,,97.9,100.5,,2025年03月01日
2025-03-01,上海,105.7,100.7,,98.6,100.4,,2025年03月01日
2025-02-01,北京,94.5,100.1,,97.1,100,,2025年02月01日
2025-02-01,上海,105.6,100.2,,97.9,99.6,,2025年02月01日
2025-01-01,北京,94.3,99.6,,96.2,100.1,,2025年01月01日
2025-01-01,上海,105.6,100.6,,97.7,100.4,,2025年01月01日
2024-12-01,北京,94.6,99.9,,95.5,100.5,,2024年12月01日
2024-12-01,上海,105.3,100.5,,96.6,100.9,,2024年12月01日
2024-11-01,北京,94.7,99.5,,93.8,100.9,,2024年11月01日
2024-11-01,上海,105,100.6,,95.1,100.4,,2024年11月01日
2024-10-01,北京,95.1,99.3,,91.6,101,,2024年10月01日
2024-10-01,上海,105,100.3,,93.3,100.2,,2024年10月01日
2024-09-01,北京,95.4,99.3,,89.7,98.7,,2024年09月01日
2024-09-01,上海,104.9,100.6,,92.4,98.8,,2024年09月01日
2024-08-01,北京,96.4,99.5,,91.5,99,,2024年08月01日
2024-08-01,上海,104.9,100.6,,94.2,99.4,,2024年08月01日
2024-07-01,北京,96.7,99.5,,92.8,100,,2024年07月01日
2024-07-01,上海,104.4,100.2,,94.4,100.1,,2024年07月01日
2024-06-01,北京,97.6,99.4,,92.2,100.2,,2024年06月01日
2024-06-01,上海,104.4,100.4,,93.7,100.5,,2024年06月01日
2024-05-01,北京,98.2,98.9,,91.4,98.8,,2024年05月01日
2024-05-01,上海,104.5,100.6,,92.1,98.7,,2024年05月01日
2024-04-01,北京,99.5,99.3,,92,98.4,,2024年04月01日
2024-04-01,上海,104.2,100.3,,92.5,99.2,,2024年04月01日
2024-03-01,北京,100.8,100,,93.6,99.6,,2024年03月01日
2024-03-01,上海,104.3,100.5,,93.1,99.7,,2024年03月01日
2024-02-01,北京,101,99.9,,94.7,99.1,,2024年02月01日
2024-02-01,上海,104.2,100.2,,94,99.4,,2024年02月01日
2024-01-01,北京,101.3,99.9,,96.3,99.3,,2024年01月01日
2024-01-01,上海,104.2,100.4,,95.5,99.2,,2024年01月01日
2023-12-01,北京,101.7,100,,97.8,98.8,,2023年12月01日
2023-12-01,上海,104.5,100.2,,96.6,99.4,,2023年12月01日
2023-11-01,北京,101.9,99.9,,98.6,98.6,,2023年11月01日
2023-11-01,上海,104.7,100.6,,96.7,98.5,,2023年11月01日
2023-10-01,北京,102.1,99.6,,99.8,98.9,,2023年10月01日
2023-10-01,上海,104.4,100.2,,97.7,99.2,,2023年10月01日
2023-09-01,北京,102.9,100.4,,101.1,100.7,,2023年09月01日
2023-09-01,上海,104.4,100.5,,98.1,100.6,,2023年09月01日
2023-08-01,北京,102.8,99.8,,100.8,100.4,,2023年08月01日
2023-08-01,上海,104.1,100.1,,98,99.7,,2023年08月01日
2023-07-01,北京,103.5,100.4,,100.6,99.4,,2023年07月01日
2023-07-01,上海,104.5,100.2,,98.8,99.3,,2023年07月01日
2023-06-01,北京,103.5,100.1,,101.5,99.3,,2023年06月01日
2023-06-01,上海,104.8,100.4,,100.2,98.8,,2023年06月01日
2023-05-01,北京,104.3,100.2,,102.8,99.4,,2023年05月01日
2023-05-01,上海,104.9,100.3,,101.7,99.2,,2023年05月01日
2023-04-01,北京,104.5,100.6,,103.3,100.1,,2023年04月01日
2023-04-01,上海,104.6,100.4,,102.5,99.8,,2023年04月01日
2023-03-01,北京,104.6,100.3,,103.8,100.7,,2023年03月01日
2023-03-01,上海,104.1,100.4,,102.8,100.7,,2023年03月01日
2023-02-01,北京,104.7,100.2,,104.4,100.8,,2023年02月01日
2023-02-01,上海,103.9,100.2,,102.5,101,,2023年02月01日
2023-01-01,北京,105.2,100.4,,104.3,100.9,,2023年01月01日
2023-01-01,上海,104.2,100.7,,102.3,100.4,,2023年01月01日
2022-12-01,北京,105.8,100.2,112.7,103.9,99.6,116,2022年12月01日
2022-12-01,上海,104.1,100.4,110.4,102.6,99.5,112.7,2022年12月01日
2022-11-01,北京,105.7,100.1,112.5,105.2,99.8,116.5,2022年11月01日
2022-11-01,上海,104,100.3,110,103.5,99.5,113.2,2022年11月01日
2022-10-01,北京,105.9,100.4,112.4,105.2,100.1,116.7,2022年10月01日
2022-10-01,上海,104,100.3,109.7,103.9,99.6,113.7,2022年10月01日
2022-09-01,北京,106.1,100.2,111.9,104.6,100.4,116.5,2022年09月01日
2022-09-01,上海,103.8,100.2,109.4,103.9,100.5,114.2,2022年09月01日
2022-08-01,北京,105.8,100.4,111.7,103.9,100.2,116,2022年08月01日
2022-08-01,上海,103.7,100.6,109.1,102.8,100.6,113.6,2022年08月01日
2022-07-01,北京,105.5,100.5,111.2,104.1,100.2,115.8,2022年07月01日
2022-07-01,上海,103.5,100.5,108.5,102.4,100.8,113,2022年07月01日
2022-06-01,北京,105.8,100.8,110.6,104.5,100.5,115.5,2022年06月01日
2022-06-01,上海,103.4,100.5,108,102.3,100.2,112.2,2022年06月01日
2022-05-01,北京,105.9,100.4,109.7,105.3,99.9,114.9,2022年05月01日
2022-05-01,上海,103.4,100,107.5,103,100,111.9,2022年05月01日
2022-04-01,北京,105.8,100.7,109.3,106.5,100.6,115,2022年04月01日
2022-04-01,上海,103.8,100,107.5,103.7,100,111.9,2022年04月01日
2022-03-01,北京,105.7,100.4,108.5,107.2,101.2,114.3,2022年03月01日
2022-03-01,上海,104.1,100.3,107.5,104.6,100.4,111.9,2022年03月01日
2022-02-01,北京,105.5,100.6,108.2,107.4,100.7,112.9,2022年02月01日
2022-02-01,上海,104.1,100.5,107.2,105.3,100.9,111.5,2022年02月01日
2022-01-01,北京,105.5,101,107.5,108,100.5,112.1,2022年01月01日
2022-01-01,上海,104.2,100.6,106.7,105.8,100.6,110.5,2022年01月01日
2021-12-01,北京,105.1,100,106.5,108.5,100.8,111.6,2021年12月01日
2021-12-01,上海,104.2,100.4,106.1,106.5,100.4,109.8,2021年12月01日
2021-11-01,北京,105.4,100.3,106.4,108.1,99.8,110.7,2021年11月01日
2021-11-01,上海,104,100.2,105.7,106.7,99.9,109.4,2021年11月01日
2021-10-01,北京,104.9,100.6,106.1,108.8,99.5,110.9,2021年10月01日
2021-10-01,上海,103.8,100.1,105.5,107,99.6,109.5,2021年10月01日
2021-09-01,北京,104.5,100,105.5,109.7,99.8,111.4,2021年09月01日
2021-09-01,上海,104,100.2,105.4,108,99.4,109.9,2021年09月01日
2021-08-01,北京,104.9,100.2,105.5,110.4,100.4,111.7,2021年08月01日
2021-08-01,上海,104.3,100.4,105.2,109.7,100.2,110.5,2021年08月01日
